image_name,Type_1,Type_2,Type_3
13367.jpg,0.284451,0.612604,0.102945
13318.jpg,0.158932,0.736364,0.104704
12233.jpg,0.455113,0.472934,0.071953
11701.jpg,0.179755,0.617291,0.202955
12228.jpg,0.070536,0.459204,0.470259
12872.jpg,0.297204,0.545813,0.156983
10289.jpg,0.059136,0.26794,0.672924
11207.jpg,0.503456,0.461758,0.034786
11883.jpg,0.133983,0.734404,0.131612
13249.jpg,0.459508,0.469181,0.071311
13203.jpg,0.051405,0.250868,0.697727
12574.jpg,0.05991,0.466451,0.473639
10995.jpg,0.20308,0.751244,0.045677
12974.jpg,0.138927,0.696844,0.164229
13434.jpg,0.055926,0.242336,0.701738
13392.jpg,0.093335,0.67307,0.233596
11825.jpg,0.27889,0.535268,0.185842
13348.jpg,0.342156,0.562039,0.095806
12253.jpg,0.105763,0.28009,0.614148
12891.jpg,0.047753,0.335396,0.616851
13046.jpg,0.402438,0.550627,0.046935
11290.jpg,0.06791,0.30961,0.62248
11159.jpg,0.100951,0.344782,0.554267
10384.jpg,0.654832,0.306114,0.039055
10452.jpg,0.320592,0.563259,0.11615
12687.jpg,0.22116,0.641469,0.137371
11932.jpg,0.34032,0.56682,0.092861
10886.jpg,0.058648,0.297335,0.644017
12796.jpg,0.053809,0.28848,0.657711
10413.jpg,0.13406,0.65894,0.206999
10810.jpg,0.371176,0.519845,0.108979
11753.jpg,0.210825,0.542169,0.247005
13341.jpg,0.11356,0.463151,0.423289
11028.jpg,0.103705,0.738766,0.157529
13059.jpg,0.044687,0.236383,0.71893
10392.jpg,0.097452,0.386456,0.516091
11084.jpg,0.050206,0.346411,0.603383
13471.jpg,0.136806,0.782254,0.08094
10029.jpg,0.379025,0.549641,0.071334
13003.jpg,0.301074,0.656859,0.042067
10060.jpg,0.384169,0.590787,0.025044
13474.jpg,0.178017,0.741613,0.080369
11915.jpg,0.222879,0.59655,0.180571
12256.jpg,0.22496,0.578081,0.196959
11857.jpg,0.367074,0.542727,0.0902
11410.jpg,0.152073,0.62134,0.226588
11118.jpg,0.341108,0.561185,0.097707
10200.jpg,0.100674,0.602524,0.296802
12446.jpg,0.501065,0.486464,0.012471
11470.jpg,0.060495,0.450212,0.489293
12746.jpg,0.507769,0.393544,0.098687
13335.jpg,0.5642,0.397021,0.038779
10054.jpg,0.046255,0.659328,0.294417
12018.jpg,0.047016,0.416322,0.536662
13305.jpg,0.233243,0.553456,0.213301
11160.jpg,0.190942,0.620062,0.188996
11210.jpg,0.595293,0.397123,0.007584
11981.jpg,0.245505,0.614296,0.1402
13130.jpg,0.082641,0.517659,0.399699
10873.jpg,0.276371,0.612685,0.110944
13049.jpg,0.128622,0.789129,0.08225
13101.jpg,0.049978,0.750454,0.199568
13065.jpg,0.112132,0.345332,0.542537
10846.jpg,0.15386,0.588106,0.258033
10015.jpg,0.064156,0.400293,0.535551
10009.jpg,0.124269,0.621722,0.254009
11518.jpg,0.216705,0.745424,0.037871
12285.jpg,0.044175,0.345258,0.610568
12564.jpg,0.308988,0.602913,0.088099
12910.jpg,0.146319,0.803589,0.050092
10405.jpg,0.454182,0.530026,0.015791
11949.jpg,0.048651,0.366558,0.584791
10411.jpg,0.088841,0.762972,0.148187
10396.jpg,0.586339,0.393729,0.019932
10533.jpg,0.036598,0.179925,0.783477
10044.jpg,0.391195,0.419287,0.189518
12300.jpg,0.415404,0.479439,0.105157
11928.jpg,0.730559,0.256688,0.012754
11048.jpg,0.729281,0.249094,0.021625
10387.jpg,0.079594,0.764967,0.155439
11142.jpg,0.619896,0.347513,0.032591
13292.jpg,0.430943,0.510599,0.058458
12928.jpg,0.480026,0.480815,0.039159
11485.jpg,0.039993,0.201365,0.758642
13374.jpg,0.155145,0.747655,0.0972
12781.jpg,0.189597,0.714539,0.095865
10641.jpg,0.207141,0.532461,0.260399
10959.jpg,0.431219,0.539517,0.029265
11335.jpg,0.341507,0.560553,0.097939
13031.jpg,0.237459,0.72438,0.038161
11944.jpg,0.060853,0.487329,0.451817
10385.jpg,0.795548,0.197297,0.007154
11332.jpg,0.037268,0.270591,0.692141
10351.jpg,0.084687,0.541862,0.373452
11208.jpg,0.034768,0.660925,0.304306
10080.jpg,0.212259,0.48933,0.298411
12994.jpg,0.057241,0.571257,0.371502
10482.jpg,0.047404,0.225831,0.726766
10214.jpg,0.09364,0.78381,0.12255
10462.jpg,0.06485,0.321322,0.613828
13165.jpg,0.494685,0.441048,0.064267
11399.jpg,0.059167,0.173856,0.766978
12212.jpg,0.095268,0.436564,0.468168
12118.jpg,0.156665,0.547289,0.296046
13193.jpg,0.043189,0.235085,0.721726
10848.jpg,0.048042,0.230022,0.721936
12980.jpg,0.307463,0.611485,0.081051
12427.jpg,0.145813,0.56953,0.284657
12325.jpg,0.08147,0.394753,0.523778
10551.jpg,0.129185,0.598299,0.272516
10671.jpg,0.173683,0.578925,0.247392
10391.jpg,0.054975,0.300921,0.644104
11450.jpg,0.114689,0.511352,0.373959
12573.jpg,0.453245,0.449952,0.096803
10594.jpg,0.366267,0.503177,0.130556
13200.jpg,0.201546,0.739835,0.058618
11491.jpg,0.328141,0.63099,0.040869
11759.jpg,0.178979,0.473507,0.347515
10814.jpg,0.168534,0.530614,0.300852
10355.jpg,0.133285,0.58961,0.277106
12365.jpg,0.074226,0.552457,0.373317
11259.jpg,0.184295,0.749634,0.066072
10673.jpg,0.15088,0.598053,0.251067
12664.jpg,0.08206,0.281249,0.636691
12767.jpg,0.108674,0.569325,0.322001
10425.jpg,0.31207,0.64411,0.04382
10952.jpg,0.153902,0.796323,0.049775
11539.jpg,0.057987,0.451209,0.490803
10158.jpg,0.271531,0.656348,0.072121
13465.jpg,0.260762,0.705258,0.03398
10141.jpg,0.229169,0.733928,0.036903
11621.jpg,0.173355,0.62533,0.201315
13251.jpg,0.471485,0.462939,0.065575
11102.jpg,0.065884,0.604775,0.32934
10933.jpg,0.51552,0.441903,0.042577
11147.jpg,0.054791,0.408815,0.536394
10473.jpg,0.114656,0.750175,0.135168
12139.jpg,0.433922,0.557131,0.008947
11072.jpg,0.139248,0.395081,0.465671
11577.jpg,0.069972,0.573826,0.356202
12299.jpg,0.203383,0.536855,0.259762
10875.jpg,0.05223,0.226349,0.72142
10070.jpg,0.336528,0.634716,0.028756
10710.jpg,0.385216,0.519746,0.095038
11309.jpg,0.100408,0.681256,0.218336
10175.jpg,0.307504,0.604759,0.087737
12201.jpg,0.157235,0.578587,0.264178
12651.jpg,0.525868,0.393644,0.080488
12728.jpg,0.068629,0.348425,0.582946
11546.jpg,0.389571,0.583591,0.026839
13352.jpg,0.142426,0.318864,0.53871
12999.jpg,0.403829,0.541138,0.055034
10651.jpg,0.515218,0.419802,0.06498
10595.jpg,0.048703,0.20964,0.741656
10000.jpg,0.200658,0.740546,0.058796
13147.jpg,0.196579,0.575086,0.228335
11303.jpg,0.130774,0.299925,0.569301
10102.jpg,0.098497,0.744925,0.156578
11151.jpg,0.089281,0.709812,0.200907
11421.jpg,0.271327,0.44287,0.285803
11326.jpg,0.423523,0.541775,0.034703
