image_name,Type_1,Type_2,Type_3
13367.jpg,0.252708,0.614007,0.133285
13318.jpg,0.165373,0.716258,0.118369
12233.jpg,0.432913,0.477443,0.089644
11701.jpg,0.209987,0.577986,0.212028
12228.jpg,0.079885,0.455316,0.464798
12872.jpg,0.365487,0.500631,0.133882
10289.jpg,0.056411,0.266729,0.676861
11207.jpg,0.495454,0.468994,0.035552
11883.jpg,0.153227,0.721695,0.125077
13249.jpg,0.444957,0.492239,0.062804
13203.jpg,0.053716,0.259422,0.686861
12574.jpg,0.059025,0.473343,0.467632
10995.jpg,0.19206,0.749263,0.058678
12974.jpg,0.164696,0.679289,0.156015
13434.jpg,0.062491,0.229346,0.708163
13392.jpg,0.116212,0.670928,0.21286
11825.jpg,0.265933,0.543612,0.190454
13348.jpg,0.325527,0.564734,0.109739
12253.jpg,0.09567,0.271036,0.633293
12891.jpg,0.053818,0.337906,0.608276
13046.jpg,0.37969,0.553857,0.066452
11290.jpg,0.066537,0.291606,0.641857
11159.jpg,0.09326,0.39581,0.51093
10384.jpg,0.593468,0.357466,0.049066
10452.jpg,0.310291,0.551803,0.137906
12687.jpg,0.25285,0.608478,0.138672
11932.jpg,0.319201,0.581633,0.099166
10886.jpg,0.054555,0.308365,0.63708
12796.jpg,0.050114,0.270277,0.679609
10413.jpg,0.149909,0.641616,0.208475
10810.jpg,0.35747,0.523221,0.119309
11753.jpg,0.220954,0.539155,0.23989
13341.jpg,0.132533,0.476735,0.390731
11028.jpg,0.104365,0.721963,0.173672
13059.jpg,0.040646,0.21204,0.747314
10392.jpg,0.089836,0.409176,0.500988
11084.jpg,0.056974,0.378403,0.564623
13471.jpg,0.139048,0.765658,0.095295
10029.jpg,0.389005,0.532329,0.078666
13003.jpg,0.309987,0.651556,0.038457
10060.jpg,0.388855,0.582563,0.028582
13474.jpg,0.170639,0.742321,0.08704
11915.jpg,0.210971,0.584318,0.204712
12256.jpg,0.234971,0.586862,0.178167
11857.jpg,0.354804,0.545423,0.099773
11410.jpg,0.169834,0.605382,0.224785
11118.jpg,0.376117,0.529294,0.094588
10200.jpg,0.08847,0.562097,0.349434
12446.jpg,0.50228,0.486844,0.010876
11470.jpg,0.063883,0.441447,0.494671
12746.jpg,0.50764,0.401185,0.091175
13335.jpg,0.54283,0.412094,0.045076
10054.jpg,0.051324,0.658489,0.290188
12018.jpg,0.045523,0.4036,0.550877
13305.jpg,0.24455,0.556528,0.198922
11160.jpg,0.215148,0.606252,0.178599
11210.jpg,0.550417,0.436135,0.013448
11981.jpg,0.290197,0.591774,0.118029
13130.jpg,0.093062,0.562851,0.344087
10873.jpg,0.269397,0.598429,0.132174
13049.jpg,0.135171,0.761813,0.103016
13101.jpg,0.05456,0.745292,0.200148
13065.jpg,0.097417,0.338436,0.564146
10846.jpg,0.133446,0.577682,0.288872
10015.jpg,0.074949,0.434883,0.490168
10009.jpg,0.110088,0.550226,0.339686
11518.jpg,0.225942,0.733596,0.040461
12285.jpg,0.042123,0.340533,0.617344
12564.jpg,0.325286,0.589167,0.085547
12910.jpg,0.159581,0.786962,0.053457
10405.jpg,0.427114,0.552242,0.020645
11949.jpg,0.04293,0.360748,0.596322
10411.jpg,0.104944,0.749278,0.145778
10396.jpg,0.547541,0.428371,0.024088
10533.jpg,0.032563,0.174637,0.7928
10044.jpg,0.387799,0.44013,0.172071
12300.jpg,0.469852,0.439794,0.090355
11928.jpg,0.723752,0.264639,0.011609
11048.jpg,0.688326,0.284104,0.02757
10387.jpg,0.08527,0.736688,0.178042
11142.jpg,0.619725,0.350158,0.030116
13292.jpg,0.43701,0.487931,0.075059
12928.jpg,0.44477,0.495935,0.059296
11485.jpg,0.037029,0.226073,0.736898
13374.jpg,0.15073,0.7281,0.12117
12781.jpg,0.201427,0.696038,0.102535
10641.jpg,0.238578,0.530944,0.230479
10959.jpg,0.434147,0.532794,0.033059
11335.jpg,0.368696,0.551013,0.080291
13031.jpg,0.234671,0.716483,0.048846
11944.jpg,0.058673,0.455095,0.486232
10385.jpg,0.721173,0.264572,0.014255
11332.jpg,0.034622,0.234291,0.731086
10351.jpg,0.084476,0.540877,0.374647
11208.jpg,0.03647,0.641182,0.322347
10080.jpg,0.195919,0.494014,0.310068
12994.jpg,0.057605,0.580081,0.362314
10482.jpg,0.055846,0.227728,0.716426
10214.jpg,0.101896,0.763142,0.134962
10462.jpg,0.060756,0.311009,0.628235
13165.jpg,0.491547,0.44537,0.063082
11399.jpg,0.051131,0.167251,0.781618
12212.jpg,0.104946,0.436611,0.458442
12118.jpg,0.211706,0.527936,0.260358
13193.jpg,0.040906,0.242624,0.71647
10848.jpg,0.041628,0.219571,0.738801
12980.jpg,0.325915,0.591596,0.082489
12427.jpg,0.160683,0.57828,0.261036
12325.jpg,0.082191,0.386529,0.531279
10551.jpg,0.154299,0.584635,0.261066
10671.jpg,0.18956,0.568451,0.241989
10391.jpg,0.047552,0.319929,0.632519
11450.jpg,0.12843,0.508797,0.362773
12573.jpg,0.432753,0.449408,0.11784
10594.jpg,0.369822,0.502847,0.127331
13200.jpg,0.214503,0.723216,0.062281
11491.jpg,0.32131,0.63084,0.047851
11759.jpg,0.188293,0.47717,0.334536
10814.jpg,0.144875,0.480483,0.374642
10355.jpg,0.158639,0.587252,0.254108
12365.jpg,0.084563,0.540163,0.375273
11259.jpg,0.195049,0.73369,0.071261
10673.jpg,0.151729,0.594025,0.254245
12664.jpg,0.072138,0.265581,0.66228
12767.jpg,0.10637,0.531409,0.362221
10425.jpg,0.273802,0.664034,0.062164
10952.jpg,0.161352,0.78174,0.056907
11539.jpg,0.065905,0.440838,0.493258
10158.jpg,0.2726,0.649482,0.077917
13465.jpg,0.274587,0.689865,0.035548
10141.jpg,0.212957,0.739858,0.047185
11621.jpg,0.19367,0.623073,0.183257
13251.jpg,0.476816,0.462437,0.060747
11102.jpg,0.085788,0.622732,0.29148
10933.jpg,0.489484,0.469743,0.040773
11147.jpg,0.051471,0.422604,0.525925
10473.jpg,0.113882,0.729136,0.156982
12139.jpg,0.430629,0.555901,0.01347
11072.jpg,0.137231,0.380681,0.482088
11577.jpg,0.072614,0.553437,0.373949
12299.jpg,0.249172,0.538493,0.212334
10875.jpg,0.048492,0.27828,0.673228
10070.jpg,0.344986,0.620114,0.0349
10710.jpg,0.373171,0.519786,0.107043
11309.jpg,0.093446,0.680716,0.225838
10175.jpg,0.290542,0.621382,0.088076
12201.jpg,0.171343,0.582423,0.246234
12651.jpg,0.521216,0.406593,0.072191
12728.jpg,0.059572,0.320216,0.620212
11546.jpg,0.415739,0.546539,0.037722
13352.jpg,0.122489,0.340304,0.537207
12999.jpg,0.400383,0.546129,0.053487
10651.jpg,0.52674,0.4189,0.054359
10595.jpg,0.047584,0.207898,0.744517
10000.jpg,0.218765,0.72353,0.057705
13147.jpg,0.245759,0.551239,0.203002
11303.jpg,0.129381,0.293226,0.577394
10102.jpg,0.096484,0.725229,0.178287
11151.jpg,0.096039,0.673194,0.230767
11421.jpg,0.271343,0.4481,0.280557
11326.jpg,0.418454,0.5499,0.031646
12393.jpg,0.202473,0.678204,0.119323
13259.jpg,0.331339,0.554426,0.114235
10946.jpg,0.049108,0.39058,0.560313
12929.jpg,0.202555,0.742007,0.055439
11032.jpg,0.191343,0.688765,0.119892
12552.jpg,0.265626,0.704455,0.029919
11363.jpg,0.164957,0.426316,0.408727
11005.jpg,0.627688,0.336744,0.035569
10967.jpg,0.551187,0.381277,0.067536
10167.jpg,0.084301,0.463452,0.452246
11059.jpg,0.042818,0.623604,0.333578
12214.jpg,0.388052,0.528246,0.083702
13117.jpg,0.265147,0.507663,0.22719
12089.jpg,0.173521,0.465529,0.360951
10599.jpg,0.486206,0.494191,0.019603
11370.jpg,0.341182,0.589278,0.06954
12754.jpg,0.497154,0.382239,0.120607
12257.jpg,0.101337,0.655049,0.243613
11211.jpg,0.210596,0.652897,0.136507
11651.jpg,0.287112,0.533653,0.179235
13155.jpg,0.587842,0.385977,0.02618
11996.jpg,0.50852,0.425269,0.066211
12329.jpg,0.389164,0.557482,0.053354
10862.jpg,0.144743,0.691181,0.164076
13454.jpg,0.225279,0.563069,0.211652
11241.jpg,0.057886,0.729205,0.212908
13280.jpg,0.166828,0.73206,0.101111
11767.jpg,0.063743,0.275076,0.661181
12012.jpg,0.138259,0.479255,0.382486
10132.jpg,0.354629,0.60693,0.038441
12520.jpg,0.206487,0.488575,0.304938
10418.jpg,0.101287,0.751791,0.146922
13017.jpg,0.046151,0.280959,0.672891
11360.jpg,0.049055,0.315093,0.635852
12549.jpg,0.262347,0.578743,0.15891
10008.jpg,0.346571,0.54241,0.111019
12059.jpg,0.110474,0.552206,0.337321
11271.jpg,0.371954,0.501197,0.126849
12814.jpg,0.530959,0.444214,0.024827
12848.jpg,0.186925,0.563643,0.249432
13124.jpg,0.283117,0.545266,0.171617
12167.jpg,0.155319,0.692672,0.152009
12806.jpg,0.173054,0.547207,0.279739
12921.jpg,0.548546,0.387822,0.063633
10834.jpg,0.114284,0.492016,0.3937
11755.jpg,0.307991,0.567804,0.124206
10927.jpg,0.716214,0.245393,0.038393
12533.jpg,0.039586,0.235676,0.724737
10010.jpg,0.053306,0.153456,0.793239
12618.jpg,0.410768,0.549334,0.039897
10267.jpg,0.299658,0.640473,0.059868
12528.jpg,0.332871,0.558505,0.108624
12044.jpg,0.489212,0.463951,0.046837
11600.jpg,0.501704,0.46707,0.031227
10045.jpg,0.475682,0.478005,0.046313
11218.jpg,0.21735,0.69906,0.08359
11354.jpg,0.361434,0.534469,0.104097
13020.jpg,0.111926,0.35282,0.535254
13172.jpg,0.270427,0.610328,0.119245
10514.jpg,0.360557,0.533391,0.106052
12635.jpg,0.056007,0.472422,0.47157
11250.jpg,0.034091,0.266558,0.699352
13178.jpg,0.285653,0.576187,0.13816
11664.jpg,0.231397,0.709609,0.058995
13128.jpg,0.189729,0.717152,0.09312
10028.jpg,0.028932,0.320607,0.650461
10773.jpg,0.342662,0.631021,0.026318
10224.jpg,0.107969,0.522754,0.369276
11788.jpg,0.055574,0.329031,0.615395
10304.jpg,0.126466,0.503653,0.369881
11855.jpg,0.171201,0.589761,0.239038
10725.jpg,0.033443,0.212293,0.754265
12740.jpg,0.152854,0.508299,0.338847
12140.jpg,0.032249,0.205714,0.762037
12709.jpg,0.210415,0.604458,0.185128
13301.jpg,0.122062,0.476317,0.401621
12944.jpg,0.301602,0.641532,0.056867
10450.jpg,0.358801,0.551336,0.089864
12882.jpg,0.045369,0.363542,0.591089
10106.jpg,0.063005,0.407279,0.529715
12748.jpg,0.036342,0.315439,0.648218
12918.jpg,0.329608,0.524996,0.145396
12222.jpg,0.12252,0.403619,0.473861
10050.jpg,0.086717,0.706487,0.206795
12246.jpg,0.156909,0.369064,0.474027
11307.jpg,0.287554,0.661516,0.050929
11923.jpg,0.21276,0.598016,0.189224
10568.jpg,0.097611,0.351759,0.550629
12334.jpg,0.32044,0.647633,0.031927
11104.jpg,0.386508,0.505692,0.1078
13295.jpg,0.234882,0.633055,0.132063
12915.jpg,0.164028,0.754933,0.081039
11376.jpg,0.087235,0.307887,0.604878
11415.jpg,0.030756,0.145512,0.823733
13158.jpg,0.252191,0.682558,0.065252
10360.jpg,0.190058,0.594131,0.215811
12537.jpg,0.050971,0.262747,0.686282
10051.jpg,0.078743,0.49389,0.427367
10948.jpg,0.391135,0.538164,0.070701
12877.jpg,0.306597,0.585611,0.107791
11436.jpg,0.062327,0.471291,0.466382
13025.jpg,0.554884,0.426586,0.01853
10711.jpg,0.038428,0.228042,0.733529
13161.jpg,0.111512,0.495083,0.393406
12897.jpg,0.174208,0.769883,0.055909
12261.jpg,0.624812,0.355928,0.019261
11093.jpg,0.589765,0.3642,0.046034
10794.jpg,0.047413,0.481651,0.470936
12405.jpg,0.074569,0.538332,0.387099
12606.jpg,0.072964,0.542759,0.384277
10942.jpg,0.15245,0.583037,0.264513
12276.jpg,0.135154,0.391342,0.473503
12043.jpg,0.211506,0.58937,0.199124
10104.jpg,0.082493,0.450704,0.466803
12581.jpg,0.083116,0.394129,0.522755
