image_name,Type_1,Type_2,Type_3
82.jpg,0.323186,0.604567,0.072247
38.jpg,0.181935,0.600352,0.217713
418.jpg,0.231707,0.402908,0.365385
403.jpg,0.533994,0.461843,0.004163
228.jpg,0.300697,0.652051,0.047252
262.jpg,0.131732,0.651484,0.216784
373.jpg,0.193461,0.671039,0.135500
374.jpg,0.179889,0.486965,0.333146
72.jpg,0.235130,0.695988,0.068882
389.jpg,0.203449,0.687483,0.109068
71.jpg,0.176848,0.498441,0.324710
487.jpg,0.256224,0.692328,0.051448
117.jpg,0.330807,0.553558,0.115635
84.jpg,0.287458,0.594066,0.118475
163.jpg,0.157392,0.621264,0.221343
463.jpg,0.188825,0.651092,0.160083
312.jpg,0.382208,0.606794,0.010998
193.jpg,0.307832,0.533443,0.158725
159.jpg,0.195455,0.569919,0.234626
425.jpg,0.057516,0.341391,0.601093
292.jpg,0.028562,0.914793,0.056645
178.jpg,0.145744,0.427826,0.426430
366.jpg,0.067707,0.394296,0.537997
216.jpg,0.253028,0.669446,0.077526
70.jpg,0.279330,0.654259,0.066411
208.jpg,0.059627,0.512918,0.427454
466.jpg,0.185587,0.549183,0.265230
273.jpg,0.124661,0.417914,0.457425
180.jpg,0.085103,0.468627,0.446270
375.jpg,0.335687,0.559345,0.104968
229.jpg,0.109217,0.560810,0.329973
157.jpg,0.181765,0.664453,0.153781
231.jpg,0.093579,0.903311,0.003110
297.jpg,0.251006,0.562990,0.186004
493.jpg,0.219534,0.589514,0.190953
230.jpg,0.288531,0.597948,0.113521
311.jpg,0.038904,0.404699,0.556397
303.jpg,0.225457,0.499710,0.274833
295.jpg,0.120562,0.684363,0.195075
500.jpg,0.102413,0.500306,0.397281
353.jpg,0.047104,0.359625,0.593271
447.jpg,0.297942,0.526939,0.175118
379.jpg,0.065464,0.246551,0.687985
287.jpg,0.056364,0.568083,0.375553
270.jpg,0.037474,0.431988,0.530538
34.jpg,0.088374,0.439265,0.472361
318.jpg,0.127535,0.626055,0.246410
16.jpg,0.186455,0.541818,0.271726
333.jpg,0.042392,0.377594,0.580014
401.jpg,0.074662,0.566852,0.358487
492.jpg,0.333486,0.554338,0.112175
177.jpg,0.357903,0.462441,0.179656
310.jpg,0.119026,0.499258,0.381715
495.jpg,0.110250,0.642848,0.246902
75.jpg,0.247300,0.577923,0.174778
160.jpg,0.422421,0.528751,0.048827
399.jpg,0.099778,0.526733,0.373490
125.jpg,0.157817,0.586252,0.255931
26.jpg,0.268262,0.648046,0.083692
53.jpg,0.109117,0.526065,0.364818
474.jpg,0.155136,0.493530,0.351334
346.jpg,0.110506,0.438119,0.451375
400.jpg,0.168655,0.511303,0.320042
1.jpg,0.085254,0.621290,0.293456
150.jpg,0.261418,0.644179,0.094403
253.jpg,0.157103,0.403098,0.439799
18.jpg,0.507151,0.436979,0.055869
226.jpg,0.070225,0.573365,0.356409
296.jpg,0.135047,0.670709,0.194244
235.jpg,0.226487,0.668189,0.105324
172.jpg,0.469307,0.446254,0.084439
285.jpg,0.268309,0.683305,0.048386
4.jpg,0.032473,0.304910,0.662616
506.jpg,0.225872,0.681892,0.092236
33.jpg,0.190735,0.526977,0.282288
10.jpg,0.324303,0.614016,0.061681
97.jpg,0.321501,0.501431,0.177068
410.jpg,0.114864,0.632709,0.252428
139.jpg,0.486770,0.492371,0.020859
335.jpg,0.082326,0.603569,0.314105
31.jpg,0.080141,0.745497,0.174362
426.jpg,0.099098,0.537962,0.362940
94.jpg,0.210485,0.614282,0.175233
283.jpg,0.085008,0.533716,0.381276
113.jpg,0.190792,0.653393,0.155815
257.jpg,0.355104,0.582605,0.062291
325.jpg,0.261585,0.526134,0.212280
299.jpg,0.260933,0.656990,0.082077
116.jpg,0.118989,0.385130,0.495881
167.jpg,0.035126,0.406959,0.557914
83.jpg,0.124417,0.384728,0.490856
43.jpg,0.061538,0.438029,0.500432
300.jpg,0.887750,0.111177,0.001072
241.jpg,0.296426,0.651279,0.052295
165.jpg,0.444366,0.535824,0.019810
370.jpg,0.163098,0.507976,0.328927
332.jpg,0.520740,0.447983,0.031277
446.jpg,0.374372,0.499743,0.125885
0.jpg,0.161350,0.560763,0.277887
444.jpg,0.235698,0.446934,0.317368
57.jpg,0.187133,0.571323,0.241544
490.jpg,0.168075,0.626582,0.205344
456.jpg,0.208549,0.639892,0.151559
319.jpg,0.126842,0.573524,0.299635
308.jpg,0.244021,0.705785,0.050194
232.jpg,0.447930,0.457351,0.094720
68.jpg,0.135678,0.582935,0.281386
103.jpg,0.100412,0.561709,0.337879
184.jpg,0.042048,0.474641,0.483311
382.jpg,0.376143,0.582729,0.041127
391.jpg,0.117250,0.473861,0.408889
279.jpg,0.073058,0.363320,0.563622
344.jpg,0.368080,0.520836,0.111084
220.jpg,0.184570,0.579770,0.235660
305.jpg,0.141583,0.443468,0.414949
462.jpg,0.265354,0.622616,0.112030
252.jpg,0.066685,0.575834,0.357480
213.jpg,0.096531,0.467094,0.436375
428.jpg,0.113981,0.609002,0.277018
98.jpg,0.352247,0.647059,0.000694
227.jpg,0.189096,0.534122,0.276782
186.jpg,0.209918,0.590337,0.199746
429.jpg,0.103700,0.423988,0.472312
327.jpg,0.090647,0.392910,0.516443
137.jpg,0.128939,0.577413,0.293649
146.jpg,0.301573,0.617341,0.081086
371.jpg,0.361512,0.611633,0.026855
411.jpg,0.115968,0.527417,0.356615
288.jpg,0.118808,0.602377,0.278815
266.jpg,0.083930,0.441227,0.474843
380.jpg,0.069348,0.412250,0.518402
480.jpg,0.091368,0.568146,0.340486
118.jpg,0.052585,0.246768,0.700647
109.jpg,0.054615,0.359482,0.585903
245.jpg,0.310827,0.626864,0.062309
259.jpg,0.045642,0.390677,0.563682
27.jpg,0.060641,0.506236,0.433123
488.jpg,0.161189,0.410290,0.428521
486.jpg,0.072863,0.656361,0.270775
402.jpg,0.296397,0.609978,0.093624
15.jpg,0.055780,0.439267,0.504953
240.jpg,0.132771,0.345411,0.521819
154.jpg,0.458215,0.521901,0.019884
247.jpg,0.259022,0.421037,0.319941
476.jpg,0.156254,0.801584,0.042162
168.jpg,0.399509,0.509955,0.090537
472.jpg,0.236446,0.502726,0.260828
243.jpg,0.392263,0.591482,0.016254
392.jpg,0.129518,0.475084,0.395398
477.jpg,0.227730,0.721760,0.050510
423.jpg,0.072451,0.372002,0.555547
274.jpg,0.233358,0.585800,0.180842
46.jpg,0.231553,0.519070,0.249377
484.jpg,0.300493,0.602178,0.097330
416.jpg,0.303030,0.647936,0.049034
219.jpg,0.138678,0.334847,0.526474
424.jpg,0.181430,0.452505,0.366065
223.jpg,0.088243,0.342182,0.569576
328.jpg,0.148463,0.449225,0.402313
149.jpg,0.318790,0.615168,0.066042
215.jpg,0.445530,0.533197,0.021273
442.jpg,0.426072,0.547101,0.026827
49.jpg,0.094088,0.303041,0.602870
147.jpg,0.071341,0.774466,0.154193
152.jpg,0.087105,0.431893,0.481002
132.jpg,0.290023,0.661595,0.048381
246.jpg,0.224058,0.588752,0.187190
155.jpg,0.334140,0.602104,0.063755
51.jpg,0.356773,0.630699,0.012528
505.jpg,0.189530,0.654701,0.155769
407.jpg,0.276800,0.634766,0.088434
421.jpg,0.163188,0.482105,0.354707
189.jpg,0.172833,0.520173,0.306995
76.jpg,0.129533,0.389697,0.480770
101.jpg,0.289447,0.578497,0.132056
175.jpg,0.092243,0.341799,0.565957
212.jpg,0.163493,0.714905,0.121602
64.jpg,0.639204,0.337721,0.023076
440.jpg,0.133429,0.338065,0.528506
340.jpg,0.401368,0.555296,0.043336
336.jpg,0.299375,0.661822,0.038803
92.jpg,0.051648,0.386861,0.561491
307.jpg,0.040897,0.343069,0.616034
42.jpg,0.090689,0.438937,0.470375
81.jpg,0.165262,0.625955,0.208783
40.jpg,0.123237,0.383899,0.492864
185.jpg,0.284483,0.624160,0.091356
25.jpg,0.123780,0.732802,0.143418
190.jpg,0.046942,0.351832,0.601227
427.jpg,0.140712,0.480415,0.378872
99.jpg,0.084453,0.392866,0.522681
35.jpg,0.170662,0.655795,0.173542
173.jpg,0.165417,0.422857,0.411726
217.jpg,0.466571,0.524819,0.008611
351.jpg,0.168437,0.468535,0.363028
383.jpg,0.281375,0.698212,0.020413
269.jpg,0.401073,0.586274,0.012653
496.jpg,0.170186,0.454415,0.375400
130.jpg,0.227403,0.553332,0.219265
364.jpg,0.037635,0.508195,0.454170
96.jpg,0.180785,0.671848,0.147368
284.jpg,0.101891,0.397140,0.500969
431.jpg,0.498425,0.497966,0.003608
394.jpg,0.158513,0.592333,0.249154
306.jpg,0.128136,0.690579,0.181285
176.jpg,0.154225,0.524737,0.321038
376.jpg,0.091548,0.355376,0.553077
187.jpg,0.084518,0.519302,0.396180
195.jpg,0.136199,0.508367,0.355434
73.jpg,0.161868,0.520154,0.317978
330.jpg,0.094116,0.394954,0.510930
39.jpg,0.211568,0.476065,0.312367
129.jpg,0.271630,0.682688,0.045682
445.jpg,0.284770,0.532574,0.182655
413.jpg,0.115323,0.498999,0.385678
367.jpg,0.283308,0.659572,0.057120
59.jpg,0.495888,0.475900,0.028212
