image_name,Type_1,Type_2,Type_3
82.jpg,0.169404,0.528645,0.301951
38.jpg,0.169404,0.528645,0.301951
418.jpg,0.169404,0.528645,0.301951
403.jpg,0.169403,0.528646,0.301951
228.jpg,0.169404,0.528645,0.301951
262.jpg,0.169404,0.528645,0.301951
373.jpg,0.169404,0.528645,0.301951
374.jpg,0.169404,0.528645,0.301951
72.jpg,0.169404,0.528645,0.301951
389.jpg,0.169404,0.528645,0.301951
71.jpg,0.169404,0.528645,0.301951
487.jpg,0.169404,0.528645,0.301951
117.jpg,0.169404,0.528644,0.301951
84.jpg,0.169404,0.528644,0.301951
163.jpg,0.169404,0.528644,0.301951
463.jpg,0.169404,0.528645,0.301951
312.jpg,0.169404,0.528645,0.301951
193.jpg,0.169404,0.528645,0.301951
159.jpg,0.169404,0.528645,0.301951
425.jpg,0.169404,0.528645,0.301951
292.jpg,0.169404,0.528644,0.301951
178.jpg,0.169404,0.528645,0.301951
366.jpg,0.169405,0.528644,0.301951
216.jpg,0.169404,0.528645,0.301951
70.jpg,0.169404,0.528645,0.301951
208.jpg,0.169404,0.528645,0.301951
466.jpg,0.169404,0.528645,0.301951
273.jpg,0.169404,0.528645,0.301951
180.jpg,0.169404,0.528645,0.301951
375.jpg,0.169404,0.528645,0.301951
229.jpg,0.169403,0.528646,0.301951
157.jpg,0.169404,0.528645,0.301951
231.jpg,0.169404,0.528645,0.301951
297.jpg,0.169404,0.528645,0.301951
493.jpg,0.169404,0.528645,0.301951
230.jpg,0.169404,0.528645,0.301951
311.jpg,0.169404,0.528645,0.301951
303.jpg,0.169404,0.528644,0.301951
295.jpg,0.169404,0.528645,0.301951
500.jpg,0.169404,0.528645,0.301951
353.jpg,0.169404,0.528645,0.301951
447.jpg,0.169404,0.528645,0.301951
379.jpg,0.169404,0.528645,0.301951
287.jpg,0.169404,0.528645,0.301951
270.jpg,0.169404,0.528645,0.301951
34.jpg,0.169404,0.528645,0.301951
318.jpg,0.169404,0.528645,0.301951
16.jpg,0.169404,0.528645,0.301951
333.jpg,0.169404,0.528645,0.301951
401.jpg,0.169404,0.528645,0.301951
492.jpg,0.169404,0.528645,0.301951
177.jpg,0.169404,0.528645,0.301951
310.jpg,0.169404,0.528645,0.301951
495.jpg,0.169404,0.528645,0.301951
75.jpg,0.169404,0.528645,0.301951
160.jpg,0.169404,0.528645,0.301951
399.jpg,0.169404,0.528645,0.301951
125.jpg,0.169404,0.528645,0.301951
26.jpg,0.169404,0.528645,0.301951
53.jpg,0.169404,0.528644,0.301951
474.jpg,0.169404,0.528644,0.301951
346.jpg,0.169404,0.528645,0.301951
400.jpg,0.169404,0.528645,0.301951
1.jpg,0.169404,0.528645,0.301951
150.jpg,0.169404,0.528645,0.301951
253.jpg,0.169404,0.528645,0.301951
18.jpg,0.169404,0.528645,0.301951
226.jpg,0.169404,0.528645,0.301951
296.jpg,0.169404,0.528645,0.301951
235.jpg,0.169404,0.528645,0.301951
172.jpg,0.169404,0.528645,0.301951
285.jpg,0.169404,0.528645,0.301951
4.jpg,0.169404,0.528645,0.301951
506.jpg,0.169404,0.528645,0.301951
33.jpg,0.169404,0.528645,0.301951
10.jpg,0.169404,0.528645,0.301951
97.jpg,0.169404,0.528645,0.301951
410.jpg,0.169404,0.528645,0.301951
139.jpg,0.169404,0.528645,0.301951
335.jpg,0.169404,0.528645,0.301951
31.jpg,0.169404,0.528645,0.301951
426.jpg,0.169404,0.528645,0.301951
94.jpg,0.169404,0.528645,0.301951
283.jpg,0.169404,0.528645,0.301951
113.jpg,0.169404,0.528645,0.301951
257.jpg,0.169404,0.528645,0.301951
325.jpg,0.169404,0.528644,0.301951
299.jpg,0.169404,0.528644,0.301951
116.jpg,0.169404,0.528645,0.301951
167.jpg,0.169404,0.528645,0.301951
83.jpg,0.169404,0.528645,0.301951
43.jpg,0.169404,0.528644,0.301951
300.jpg,0.169404,0.528644,0.301951
241.jpg,0.169404,0.528645,0.301951
165.jpg,0.169404,0.528645,0.301951
370.jpg,0.169404,0.528645,0.301951
332.jpg,0.169404,0.528645,0.301951
446.jpg,0.169404,0.528645,0.301951
0.jpg,0.169404,0.528645,0.301951
444.jpg,0.169404,0.528645,0.301951
57.jpg,0.169404,0.528645,0.301951
490.jpg,0.169404,0.528645,0.301951
456.jpg,0.169404,0.528645,0.301951
319.jpg,0.169404,0.528645,0.301951
308.jpg,0.169404,0.528645,0.301951
232.jpg,0.169404,0.528645,0.301951
68.jpg,0.169404,0.528645,0.301951
103.jpg,0.169404,0.528645,0.301951
184.jpg,0.169404,0.528645,0.301951
382.jpg,0.169404,0.528645,0.301951
391.jpg,0.169404,0.528645,0.301951
279.jpg,0.169404,0.528644,0.301951
344.jpg,0.169404,0.528645,0.301951
220.jpg,0.169404,0.528645,0.301951
305.jpg,0.169404,0.528645,0.301951
462.jpg,0.169404,0.528645,0.301951
252.jpg,0.169404,0.528645,0.301951
213.jpg,0.169404,0.528645,0.301951
428.jpg,0.169404,0.528645,0.301951
98.jpg,0.169404,0.528645,0.301951
227.jpg,0.169404,0.528645,0.301951
186.jpg,0.169404,0.528645,0.301951
429.jpg,0.169404,0.528645,0.301951
327.jpg,0.169404,0.528645,0.301951
137.jpg,0.169404,0.528645,0.301951
146.jpg,0.169404,0.528645,0.301951
371.jpg,0.169404,0.528645,0.301951
411.jpg,0.169404,0.528645,0.301951
288.jpg,0.169404,0.528646,0.301951
266.jpg,0.169404,0.528645,0.301951
380.jpg,0.169404,0.528645,0.301951
480.jpg,0.169404,0.528645,0.301951
118.jpg,0.169404,0.528644,0.301951
109.jpg,0.169404,0.528645,0.301951
245.jpg,0.169404,0.528645,0.301951
259.jpg,0.169404,0.528645,0.301951
27.jpg,0.169404,0.528644,0.301951
488.jpg,0.169404,0.528645,0.301951
486.jpg,0.169404,0.528645,0.301951
402.jpg,0.169404,0.528645,0.301951
15.jpg,0.169404,0.528644,0.301951
240.jpg,0.169404,0.528645,0.301951
154.jpg,0.169404,0.528645,0.301951
247.jpg,0.169404,0.528644,0.301951
476.jpg,0.169404,0.528645,0.301951
168.jpg,0.169403,0.528646,0.301951
472.jpg,0.169404,0.528644,0.301951
243.jpg,0.169404,0.528645,0.301951
392.jpg,0.169404,0.528645,0.301951
477.jpg,0.169404,0.528645,0.301951
423.jpg,0.169404,0.528645,0.301951
274.jpg,0.169404,0.528645,0.301951
46.jpg,0.169404,0.528645,0.301951
484.jpg,0.169404,0.528645,0.301951
416.jpg,0.169404,0.528645,0.301951
219.jpg,0.169404,0.528645,0.301951
424.jpg,0.169404,0.528645,0.301951
223.jpg,0.169404,0.528644,0.301951
328.jpg,0.169404,0.528645,0.301951
149.jpg,0.169404,0.528645,0.301951
215.jpg,0.169404,0.528645,0.301951
442.jpg,0.169404,0.528645,0.301951
49.jpg,0.169404,0.528645,0.301951
147.jpg,0.169404,0.528645,0.301951
152.jpg,0.169404,0.528645,0.301951
132.jpg,0.169404,0.528645,0.301951
246.jpg,0.169404,0.528645,0.301951
155.jpg,0.169404,0.528645,0.301951
51.jpg,0.169404,0.528645,0.301951
505.jpg,0.169404,0.528645,0.301951
407.jpg,0.169404,0.528645,0.301951
421.jpg,0.169404,0.528645,0.301951
189.jpg,0.169404,0.528645,0.301951
76.jpg,0.169404,0.528645,0.301951
101.jpg,0.169404,0.528645,0.301951
175.jpg,0.169404,0.528644,0.301951
212.jpg,0.169404,0.528645,0.301951
64.jpg,0.169404,0.528645,0.301951
440.jpg,0.169404,0.528645,0.301951
340.jpg,0.169404,0.528645,0.301951
336.jpg,0.169404,0.528645,0.301951
92.jpg,0.169404,0.528645,0.301951
