image_name,Type_1,Type_2,Type_3
82.jpg,0.368692,0.575462,0.055847
38.jpg,0.178106,0.789413,0.032481
418.jpg,0.015182,0.053322,0.931496
403.jpg,0.193083,0.421099,0.385818
228.jpg,0.207172,0.764460,0.028368
262.jpg,0.397304,0.596703,0.005993
373.jpg,0.092363,0.716375,0.191262
374.jpg,0.164768,0.694612,0.140620
72.jpg,0.356137,0.636162,0.007701
389.jpg,0.080039,0.872165,0.047796
71.jpg,0.163337,0.688231,0.148432
487.jpg,0.460819,0.474728,0.064453
117.jpg,0.489561,0.474777,0.035663
84.jpg,0.323968,0.599837,0.076195
163.jpg,0.370497,0.544276,0.085227
463.jpg,0.099656,0.266795,0.633549
312.jpg,0.249265,0.698358,0.052377
193.jpg,0.191297,0.624353,0.184350
159.jpg,0.174032,0.771302,0.054667
425.jpg,0.008229,0.135702,0.856068
292.jpg,0.203970,0.404187,0.391844
178.jpg,0.107664,0.345473,0.546863
366.jpg,0.021602,0.161071,0.817327
216.jpg,0.310816,0.605812,0.083372
70.jpg,0.138254,0.779349,0.082396
208.jpg,0.057302,0.314040,0.628659
466.jpg,0.160282,0.760443,0.079274
273.jpg,0.097114,0.350845,0.552041
180.jpg,0.016453,0.120113,0.863435
375.jpg,0.131546,0.708694,0.159759
229.jpg,0.087746,0.765096,0.147158
157.jpg,0.075155,0.382454,0.542391
231.jpg,0.745543,0.254224,0.000233
297.jpg,0.298588,0.636487,0.064926
493.jpg,0.255979,0.731230,0.012790
230.jpg,0.210402,0.764327,0.025271
311.jpg,0.016837,0.089464,0.893699
303.jpg,0.356855,0.571888,0.071257
295.jpg,0.207685,0.760339,0.031977
500.jpg,0.064834,0.622336,0.312830
353.jpg,0.052918,0.191792,0.755289
447.jpg,0.165543,0.742705,0.091752
379.jpg,0.038231,0.252922,0.708847
287.jpg,0.032033,0.202486,0.765480
270.jpg,0.029138,0.164529,0.806334
34.jpg,0.060624,0.495856,0.443520
318.jpg,0.326169,0.638973,0.034858
16.jpg,0.242701,0.465540,0.291759
333.jpg,0.121180,0.410718,0.468102
401.jpg,0.082347,0.676578,0.241075
492.jpg,0.283118,0.382945,0.333937
177.jpg,0.327415,0.660500,0.012086
310.jpg,0.086970,0.445974,0.467056
495.jpg,0.137996,0.830220,0.031784
75.jpg,0.313645,0.628963,0.057392
160.jpg,0.362452,0.625553,0.011995
399.jpg,0.109741,0.515983,0.374276
125.jpg,0.027657,0.485890,0.486453
26.jpg,0.242526,0.524418,0.233056
53.jpg,0.084197,0.681113,0.234690
