image_name,Type_1,Type_2,Type_3
82.jpg,0.390434,0.600144,0.009422
38.jpg,0.084887,0.874044,0.041070
418.jpg,0.019444,0.119299,0.861257
403.jpg,0.156705,0.686336,0.156959
228.jpg,0.106797,0.867957,0.025247
262.jpg,0.419703,0.573202,0.007095
373.jpg,0.074082,0.886501,0.039417
374.jpg,0.045191,0.346856,0.607952
72.jpg,0.226962,0.767378,0.005659
389.jpg,0.057491,0.930172,0.012336
71.jpg,0.211336,0.700088,0.088577
487.jpg,0.366049,0.599197,0.034754
117.jpg,0.442569,0.526606,0.030826
84.jpg,0.284192,0.681128,0.034681
163.jpg,0.187243,0.733096,0.079661
463.jpg,0.056017,0.249651,0.694331
312.jpg,0.213535,0.779054,0.007411
193.jpg,0.174972,0.786143,0.038885
159.jpg,0.180188,0.784112,0.035700
425.jpg,0.027410,0.400462,0.572128
292.jpg,0.445591,0.425820,0.128589
178.jpg,0.028645,0.298408,0.672947
366.jpg,0.038521,0.219951,0.741528
216.jpg,0.256566,0.711861,0.031574
70.jpg,0.116593,0.844000,0.039408
208.jpg,0.075174,0.600488,0.324338
466.jpg,0.111295,0.833601,0.055103
273.jpg,0.123249,0.540624,0.336127
180.jpg,0.044373,0.273497,0.682130
375.jpg,0.126343,0.865816,0.007841
229.jpg,0.144636,0.752081,0.103283
157.jpg,0.077168,0.568609,0.354223
231.jpg,0.830021,0.169752,0.000228
297.jpg,0.428952,0.501696,0.069352
493.jpg,0.155662,0.828664,0.015673
230.jpg,0.078059,0.817574,0.104367
311.jpg,0.018761,0.107952,0.873288
303.jpg,0.248504,0.725661,0.025835
295.jpg,0.118327,0.862868,0.018805
500.jpg,0.142984,0.711149,0.145866
353.jpg,0.039606,0.210118,0.750276
447.jpg,0.160386,0.796622,0.042992
379.jpg,0.008536,0.141699,0.849765
287.jpg,0.029676,0.241587,0.728737
270.jpg,0.032743,0.216258,0.750999
34.jpg,0.089742,0.380310,0.529948
318.jpg,0.154238,0.818202,0.027560
16.jpg,0.505339,0.453096,0.041565
333.jpg,0.046623,0.271513,0.681864
401.jpg,0.085228,0.728544,0.186228
492.jpg,0.251068,0.471008,0.277924
177.jpg,0.115550,0.878781,0.005669
310.jpg,0.050669,0.529553,0.419778
495.jpg,0.079208,0.902551,0.018241
75.jpg,0.457241,0.524670,0.018090
160.jpg,0.295969,0.698904,0.005127
399.jpg,0.047632,0.463400,0.488968
125.jpg,0.048277,0.565476,0.386247
26.jpg,0.313153,0.518282,0.168565
53.jpg,0.056219,0.615195,0.328586
474.jpg,0.055896,0.272512,0.671593
346.jpg,0.096058,0.563771,0.340171
400.jpg,0.081546,0.541840,0.376614
1.jpg,0.100971,0.801723,0.097306
150.jpg,0.343452,0.653947,0.002601
253.jpg,0.082432,0.362833,0.554735
18.jpg,0.279365,0.707588,0.013047
226.jpg,0.176598,0.658786,0.164616
296.jpg,0.144330,0.833005,0.022665
235.jpg,0.166185,0.742408,0.091407
172.jpg,0.134512,0.530694,0.334795
285.jpg,0.164263,0.808022,0.027716
4.jpg,0.035216,0.234177,0.730607
506.jpg,0.390097,0.593823,0.016080
33.jpg,0.110743,0.629179,0.260078
10.jpg,0.393411,0.601291,0.005297
97.jpg,0.144919,0.496342,0.358739
410.jpg,0.177288,0.563385,0.259327
139.jpg,0.306076,0.688001,0.005923
335.jpg,0.117615,0.431606,0.450779
31.jpg,0.197459,0.792061,0.010480
426.jpg,0.138453,0.812733,0.048815
94.jpg,0.100824,0.877433,0.021743
283.jpg,0.057539,0.586844,0.355617
113.jpg,0.059869,0.443400,0.496732
257.jpg,0.176168,0.806234,0.017599
325.jpg,0.043479,0.193075,0.763446
299.jpg,0.255809,0.710225,0.033965
116.jpg,0.016781,0.145768,0.837451
167.jpg,0.022366,0.150253,0.827381
83.jpg,0.065866,0.269746,0.664388
43.jpg,0.057331,0.599056,0.343613
300.jpg,0.210245,0.754061,0.035694
241.jpg,0.027715,0.620248,0.352037
165.jpg,0.663997,0.335723,0.000280
370.jpg,0.100922,0.616058,0.283020
332.jpg,0.039412,0.641787,0.318801
446.jpg,0.122553,0.633625,0.243822
0.jpg,0.147788,0.697935,0.154278
444.jpg,0.172988,0.732034,0.094979
57.jpg,0.190611,0.710946,0.098443
490.jpg,0.077505,0.852582,0.069912
456.jpg,0.215319,0.713012,0.071670
319.jpg,0.060843,0.569326,0.369831
308.jpg,0.389917,0.608688,0.001395
232.jpg,0.402652,0.577160,0.020188
68.jpg,0.056508,0.525100,0.418392
103.jpg,0.098188,0.401549,0.500263
184.jpg,0.039936,0.216276,0.743788
382.jpg,0.388761,0.605418,0.005821
391.jpg,0.031315,0.205709,0.762976
279.jpg,0.052107,0.280669,0.667224
344.jpg,0.402895,0.589246,0.007859
220.jpg,0.115214,0.849585,0.035201
305.jpg,0.069292,0.696614,0.234094
462.jpg,0.219876,0.743475,0.036648
252.jpg,0.064977,0.464368,0.470654
213.jpg,0.092783,0.458472,0.448745
428.jpg,0.106200,0.380184,0.513616
98.jpg,0.286737,0.704535,0.008728
227.jpg,0.084853,0.774312,0.140834
186.jpg,0.053317,0.913347,0.033336
429.jpg,0.016245,0.198022,0.785733
327.jpg,0.040341,0.317653,0.642006
137.jpg,0.109940,0.722559,0.167501
146.jpg,0.086910,0.898828,0.014263
371.jpg,0.399976,0.586057,0.013967
411.jpg,0.122357,0.776631,0.101012
288.jpg,0.071118,0.800767,0.128115
266.jpg,0.033393,0.211292,0.755314
380.jpg,0.060277,0.343833,0.595891
480.jpg,0.067700,0.874599,0.057701
118.jpg,0.026165,0.220760,0.753075
109.jpg,0.031767,0.219416,0.748817
245.jpg,0.254025,0.739336,0.006639
259.jpg,0.066604,0.911761,0.021635
27.jpg,0.061059,0.654128,0.284814
488.jpg,0.101292,0.703023,0.195685
486.jpg,0.166790,0.762743,0.070467
402.jpg,0.180195,0.756189,0.063616
15.jpg,0.102722,0.462986,0.434292
240.jpg,0.029665,0.243706,0.726629
154.jpg,0.356296,0.636660,0.007043
247.jpg,0.102789,0.524878,0.372333
476.jpg,0.176725,0.804833,0.018443
168.jpg,0.256055,0.681174,0.062771
472.jpg,0.083102,0.907716,0.009182
243.jpg,0.299529,0.694157,0.006313
392.jpg,0.057994,0.577126,0.364880
477.jpg,0.438179,0.560593,0.001228
423.jpg,0.040918,0.282237,0.676845
274.jpg,0.071256,0.925029,0.003715
46.jpg,0.070150,0.625241,0.304609
484.jpg,0.162843,0.540833,0.296324
416.jpg,0.128175,0.853807,0.018018
219.jpg,0.146790,0.454487,0.398723
424.jpg,0.081551,0.755934,0.162515
223.jpg,0.038240,0.270507,0.691253
328.jpg,0.034881,0.292109,0.673010
149.jpg,0.090848,0.526712,0.382440
215.jpg,0.265312,0.710895,0.023793
442.jpg,0.191393,0.801242,0.007365
49.jpg,0.018039,0.359374,0.622587
147.jpg,0.042920,0.661680,0.295400
152.jpg,0.056398,0.749347,0.194255
132.jpg,0.085918,0.603208,0.310874
246.jpg,0.079141,0.897359,0.023500
155.jpg,0.169249,0.722400,0.108352
51.jpg,0.730516,0.263379,0.006105
505.jpg,0.120760,0.843751,0.035489
407.jpg,0.081291,0.904738,0.013971
421.jpg,0.254672,0.719781,0.025547
189.jpg,0.064467,0.435565,0.499968
76.jpg,0.018305,0.207456,0.774239
101.jpg,0.260478,0.730602,0.008920
175.jpg,0.046323,0.182043,0.771634
212.jpg,0.103182,0.854086,0.042732
64.jpg,0.399722,0.576022,0.024256
440.jpg,0.040468,0.245074,0.714458
340.jpg,0.546560,0.429891,0.023549
336.jpg,0.560027,0.437470,0.002503
92.jpg,0.043193,0.341060,0.615747
307.jpg,0.150796,0.606111,0.243094
42.jpg,0.075498,0.384107,0.540395
81.jpg,0.156876,0.683895,0.159228
40.jpg,0.032645,0.245044,0.722311
185.jpg,0.117234,0.870640,0.012126
25.jpg,0.135747,0.783278,0.080975
190.jpg,0.084171,0.890171,0.025657
427.jpg,0.049708,0.731522,0.218770
99.jpg,0.033906,0.371950,0.594144
35.jpg,0.118711,0.790627,0.090663
173.jpg,0.038827,0.253829,0.707344
217.jpg,0.521004,0.475629,0.003366
351.jpg,0.078391,0.484239,0.437370
383.jpg,0.298423,0.658766,0.042811
269.jpg,0.280061,0.718720,0.001218
496.jpg,0.067104,0.592561,0.340334
130.jpg,0.230165,0.746450,0.023386
364.jpg,0.020439,0.183114,0.796447
96.jpg,0.094438,0.898391,0.007171
284.jpg,0.034627,0.208615,0.756758
431.jpg,0.458757,0.540642,0.000601
394.jpg,0.089958,0.840609,0.069433
306.jpg,0.138304,0.699329,0.162367
176.jpg,0.108542,0.724491,0.166967
376.jpg,0.056303,0.487094,0.456603
187.jpg,0.040127,0.288501,0.671371
195.jpg,0.056085,0.468623,0.475292
73.jpg,0.087270,0.334671,0.578059
330.jpg,0.134402,0.793775,0.071823
39.jpg,0.181284,0.715407,0.103309
129.jpg,0.122688,0.801972,0.075340
445.jpg,0.266723,0.686913,0.046364
413.jpg,0.059224,0.440860,0.499916
367.jpg,0.519167,0.467544,0.013288
59.jpg,0.681408,0.317577,0.001016
128.jpg,0.273188,0.725303,0.001509
264.jpg,0.025776,0.211463,0.762761
385.jpg,0.070295,0.698544,0.231162
79.jpg,0.655635,0.343045,0.001320
469.jpg,0.074331,0.678821,0.246848
408.jpg,0.085422,0.699369,0.215209
499.jpg,0.040222,0.207442,0.752337
355.jpg,0.729579,0.256057,0.014365
144.jpg,0.123138,0.848286,0.028575
145.jpg,0.022220,0.161462,0.816318
345.jpg,0.103634,0.868013,0.028353
368.jpg,0.159857,0.649517,0.190626
449.jpg,0.109421,0.603571,0.287007
204.jpg,0.044686,0.295591,0.659723
256.jpg,0.068722,0.371135,0.560143
197.jpg,0.349815,0.624849,0.025336
420.jpg,0.052810,0.599800,0.347390
156.jpg,0.038477,0.417868,0.543655
86.jpg,0.038456,0.243620,0.717924
409.jpg,0.052224,0.434314,0.513462
434.jpg,0.167261,0.779853,0.052886
298.jpg,0.038841,0.265257,0.695902
334.jpg,0.055737,0.259942,0.684321
384.jpg,0.166568,0.573489,0.259943
485.jpg,0.025170,0.293466,0.681364
481.jpg,0.032988,0.198827,0.768185
198.jpg,0.042489,0.278799,0.678711
280.jpg,0.308293,0.674909,0.016798
451.jpg,0.067565,0.731992,0.200443
218.jpg,0.052299,0.903912,0.043789
44.jpg,0.083477,0.702919,0.213603
66.jpg,0.033212,0.346084,0.620705
436.jpg,0.272865,0.722683,0.004451
62.jpg,0.011918,0.129659,0.858423
511.jpg,0.036864,0.242167,0.720968
45.jpg,0.049353,0.475342,0.475305
417.jpg,0.176381,0.807296,0.016323
78.jpg,0.025250,0.226094,0.748656
494.jpg,0.051772,0.860887,0.087341
433.jpg,0.036995,0.235781,0.727224
360.jpg,0.101957,0.875972,0.022071
448.jpg,0.056079,0.470199,0.473722
181.jpg,0.052694,0.477474,0.469832
349.jpg,0.087355,0.852709,0.059936
9.jpg,0.202816,0.690414,0.106770
461.jpg,0.049245,0.294333,0.656422
502.jpg,0.043022,0.789321,0.167657
134.jpg,0.092287,0.853252,0.054461
323.jpg,0.059873,0.498848,0.441279
30.jpg,0.145740,0.763894,0.090366
199.jpg,0.012900,0.164834,0.822265
93.jpg,0.046500,0.919026,0.034474
100.jpg,0.279774,0.699944,0.020282
489.jpg,0.111436,0.683560,0.205004
127.jpg,0.086979,0.745991,0.167029
465.jpg,0.057039,0.758204,0.184757
5.jpg,0.428374,0.566686,0.004940
388.jpg,0.084045,0.630270,0.285686
214.jpg,0.475012,0.506149,0.018839
106.jpg,0.202312,0.698718,0.098970
261.jpg,0.079199,0.894453,0.026348
248.jpg,0.131641,0.739945,0.128413
21.jpg,0.299282,0.691930,0.008788
242.jpg,0.119476,0.669038,0.211486
50.jpg,0.034545,0.287498,0.677956
412.jpg,0.098499,0.874736,0.026765
438.jpg,0.089814,0.806363,0.103823
