image_name,Type_1,Type_2,Type_3
82.jpg,0.624052,0.373344,0.002603
38.jpg,0.109471,0.750452,0.140077
418.jpg,0.059228,0.261626,0.679146
403.jpg,0.413594,0.561290,0.025116
228.jpg,0.413992,0.585928,0.000081
262.jpg,0.217180,0.770282,0.012539
373.jpg,0.153832,0.399451,0.446716
374.jpg,0.003062,0.908052,0.088886
72.jpg,0.561935,0.437702,0.000363
389.jpg,0.065891,0.895999,0.038110
71.jpg,0.399569,0.577959,0.022472
487.jpg,0.231171,0.755127,0.013702
117.jpg,0.279889,0.693145,0.026965
84.jpg,0.148185,0.616568,0.235247
163.jpg,0.201801,0.441689,0.356510
463.jpg,0.636877,0.354827,0.008297
312.jpg,0.163318,0.815636,0.021046
193.jpg,0.164116,0.794711,0.041173
159.jpg,0.057258,0.756060,0.186682
425.jpg,0.035716,0.275222,0.689062
292.jpg,0.621587,0.373936,0.004477
178.jpg,0.025430,0.285077,0.689493
366.jpg,0.020178,0.191268,0.788553
216.jpg,0.379356,0.536123,0.084521
70.jpg,0.320105,0.672627,0.007268
208.jpg,0.129146,0.590121,0.280732
466.jpg,0.089209,0.905565,0.005226
273.jpg,0.042955,0.299862,0.657184
180.jpg,0.021728,0.296422,0.681850
375.jpg,0.431334,0.567417,0.001249
229.jpg,0.079778,0.754931,0.165291
157.jpg,0.168892,0.340189,0.490919
231.jpg,0.468296,0.515534,0.016170
297.jpg,0.458007,0.517148,0.024846
493.jpg,0.286562,0.497382,0.216057
230.jpg,0.235460,0.619231,0.145309
311.jpg,0.003705,0.085892,0.910403
303.jpg,0.283234,0.634117,0.082648
295.jpg,0.085602,0.854159,0.060240
500.jpg,0.165009,0.319053,0.515938
353.jpg,0.014180,0.157450,0.828370
447.jpg,0.653526,0.346137,0.000337
379.jpg,0.020768,0.090881,0.888351
287.jpg,0.075707,0.526856,0.397437
270.jpg,0.010055,0.140888,0.849056
34.jpg,0.053972,0.658979,0.287050
318.jpg,0.127438,0.848042,0.024519
16.jpg,0.235370,0.744497,0.020133
333.jpg,0.009324,0.187386,0.803290
401.jpg,0.063779,0.929426,0.006795
492.jpg,0.194775,0.575230,0.229996
177.jpg,0.403136,0.596826,0.000038
310.jpg,0.009310,0.746788,0.243902
495.jpg,0.151543,0.758854,0.089603
75.jpg,0.036725,0.953240,0.010035
160.jpg,0.338922,0.645621,0.015457
399.jpg,0.109534,0.567751,0.322715
125.jpg,0.022069,0.484223,0.493708
26.jpg,0.614368,0.372689,0.012943
53.jpg,0.145806,0.362595,0.491599
474.jpg,0.067807,0.502348,0.429845
346.jpg,0.204081,0.662531,0.133388
400.jpg,0.073938,0.691591,0.234471
1.jpg,0.083464,0.570661,0.345875
150.jpg,0.385221,0.614424,0.000355
253.jpg,0.058907,0.285981,0.655112
18.jpg,0.325749,0.674221,0.000031
226.jpg,0.133398,0.670453,0.196149
296.jpg,0.240503,0.742795,0.016702
235.jpg,0.035617,0.361284,0.603099
172.jpg,0.044431,0.574558,0.381011
285.jpg,0.463999,0.514366,0.021634
4.jpg,0.065464,0.345105,0.589431
506.jpg,0.210763,0.695260,0.093977
33.jpg,0.500155,0.463359,0.036486
10.jpg,0.635155,0.363505,0.001340
97.jpg,0.168379,0.383357,0.448264
410.jpg,0.185929,0.443349,0.370722
139.jpg,0.163909,0.696361,0.139729
335.jpg,0.009532,0.045165,0.945304
31.jpg,0.593343,0.406582,0.000074
426.jpg,0.371961,0.530407,0.097632
94.jpg,0.054301,0.936687,0.009013
283.jpg,0.011502,0.200915,0.787583
113.jpg,0.122584,0.356893,0.520522
257.jpg,0.117808,0.803132,0.079061
325.jpg,0.062912,0.900247,0.036840
299.jpg,0.373053,0.624340,0.002607
116.jpg,0.029229,0.210939,0.759831
167.jpg,0.046333,0.259381,0.694286
83.jpg,0.005465,0.038303,0.956232
43.jpg,0.008493,0.142706,0.848801
300.jpg,0.166728,0.767874,0.065398
241.jpg,0.301993,0.369004,0.329002
165.jpg,0.811558,0.188244,0.000199
370.jpg,0.045779,0.909512,0.044709
332.jpg,0.559100,0.440602,0.000299
446.jpg,0.069081,0.352125,0.578794
0.jpg,0.183351,0.634800,0.181849
444.jpg,0.509244,0.488565,0.002192
57.jpg,0.214052,0.689365,0.096583
