image_name,Type_1,Type_2,Type_3
82.jpg,0.763582,0.234693,0.001725
38.jpg,0.097319,0.785762,0.116919
418.jpg,0.058228,0.288465,0.653307
403.jpg,0.474622,0.510539,0.014839
228.jpg,0.288119,0.711877,0.000003
262.jpg,0.285835,0.710018,0.004147
373.jpg,0.147784,0.230333,0.621883
374.jpg,0.001930,0.926016,0.072055
72.jpg,0.755703,0.244210,0.000087
389.jpg,0.058376,0.909212,0.032412
71.jpg,0.469922,0.524718,0.005360
487.jpg,0.367314,0.625587,0.007100
117.jpg,0.409189,0.577310,0.013501
84.jpg,0.185727,0.448559,0.365714
163.jpg,0.274452,0.548084,0.177464
463.jpg,0.515332,0.477681,0.006987
312.jpg,0.204190,0.777780,0.018029
193.jpg,0.108774,0.862419,0.028807
159.jpg,0.069846,0.745310,0.184844
425.jpg,0.047547,0.319490,0.632963
292.jpg,0.793137,0.205706,0.001156
178.jpg,0.027010,0.259573,0.713417
366.jpg,0.033652,0.206921,0.759427
216.jpg,0.349336,0.596705,0.053959
70.jpg,0.354508,0.639131,0.006361
208.jpg,0.074084,0.519090,0.406825
466.jpg,0.096612,0.902349,0.001039
273.jpg,0.046819,0.342277,0.610903
180.jpg,0.021413,0.213369,0.765218
375.jpg,0.553119,0.446848,0.000033
229.jpg,0.118447,0.761142,0.120411
157.jpg,0.205900,0.459493,0.334607
231.jpg,0.456350,0.529251,0.014399
297.jpg,0.458648,0.518984,0.022368
493.jpg,0.199741,0.521213,0.279046
230.jpg,0.160125,0.720407,0.119467
311.jpg,0.001688,0.057269,0.941043
303.jpg,0.410024,0.555145,0.034831
295.jpg,0.051882,0.884744,0.063374
500.jpg,0.178166,0.195526,0.626309
353.jpg,0.005486,0.100858,0.893656
447.jpg,0.775187,0.224765,0.000048
379.jpg,0.013993,0.080998,0.905008
287.jpg,0.091351,0.492053,0.416595
270.jpg,0.012471,0.109730,0.877799
34.jpg,0.039690,0.736198,0.224112
318.jpg,0.053041,0.939915,0.007044
16.jpg,0.244790,0.745561,0.009649
333.jpg,0.005616,0.123616,0.870769
401.jpg,0.047199,0.946717,0.006084
492.jpg,0.264824,0.649335,0.085841
177.jpg,0.384258,0.615741,0.000001
310.jpg,0.009421,0.815446,0.175133
495.jpg,0.299775,0.651425,0.048800
75.jpg,0.019365,0.973052,0.007584
160.jpg,0.524829,0.468344,0.006827
399.jpg,0.109322,0.556084,0.334594
125.jpg,0.014269,0.369047,0.616684
26.jpg,0.605628,0.388303,0.006068
53.jpg,0.132210,0.298400,0.569389
474.jpg,0.041705,0.472979,0.485316
346.jpg,0.185960,0.653057,0.160983
400.jpg,0.070820,0.721347,0.207833
1.jpg,0.104173,0.611209,0.284618
150.jpg,0.390888,0.608948,0.000164
253.jpg,0.058527,0.284692,0.656781
18.jpg,0.358272,0.641686,0.000042
226.jpg,0.125324,0.728098,0.146578
296.jpg,0.293430,0.703470,0.003100
235.jpg,0.049281,0.487284,0.463435
172.jpg,0.051099,0.542281,0.406620
285.jpg,0.393758,0.578220,0.028022
4.jpg,0.052692,0.332377,0.614932
506.jpg,0.248640,0.716461,0.034899
33.jpg,0.580607,0.407845,0.011548
10.jpg,0.661127,0.337954,0.000919
97.jpg,0.211020,0.383813,0.405167
410.jpg,0.104666,0.482496,0.412838
139.jpg,0.194963,0.721902,0.083135
335.jpg,0.010300,0.039859,0.949841
31.jpg,0.631888,0.368084,0.000028
426.jpg,0.292768,0.538655,0.168577
94.jpg,0.020519,0.972427,0.007055
283.jpg,0.007224,0.156382,0.836395
113.jpg,0.111026,0.411671,0.477303
257.jpg,0.127943,0.802050,0.070007
325.jpg,0.020032,0.976602,0.003366
299.jpg,0.608167,0.388728,0.003104
116.jpg,0.047231,0.159748,0.793020
167.jpg,0.047293,0.217698,0.735009
83.jpg,0.006927,0.039876,0.953198
43.jpg,0.003695,0.123923,0.872382
300.jpg,0.155491,0.792579,0.051930
241.jpg,0.326673,0.467873,0.205454
165.jpg,0.843163,0.156347,0.000489
370.jpg,0.027763,0.920648,0.051589
332.jpg,0.702451,0.297468,0.000082
446.jpg,0.078754,0.332452,0.588795
0.jpg,0.102912,0.680988,0.216100
444.jpg,0.674294,0.324950,0.000756
57.jpg,0.317412,0.638704,0.043884
490.jpg,0.346222,0.646640,0.007138
456.jpg,0.481436,0.512242,0.006322
319.jpg,0.022190,0.889790,0.088020
308.jpg,0.540601,0.459319,0.000079
232.jpg,0.663388,0.332398,0.004213
68.jpg,0.043499,0.847710,0.108791
103.jpg,0.117878,0.610305,0.271817
184.jpg,0.014553,0.073270,0.912177
382.jpg,0.088643,0.864364,0.046993
391.jpg,0.001171,0.204465,0.794364
279.jpg,0.025037,0.074017,0.900946
344.jpg,0.682396,0.317348,0.000256
220.jpg,0.027959,0.971992,0.000048
305.jpg,0.079227,0.906772,0.014001
462.jpg,0.364306,0.485680,0.150015
252.jpg,0.122396,0.583278,0.294326
213.jpg,0.036218,0.446904,0.516877
428.jpg,0.014246,0.120129,0.865625
98.jpg,0.121965,0.876804,0.001231
227.jpg,0.047470,0.842773,0.109757
186.jpg,0.043206,0.854830,0.101963
429.jpg,0.027681,0.083853,0.888466
