image_name,Type_1,Type_2,Type_3
82.jpg,0.600983,0.396490,0.002527
38.jpg,0.208915,0.622139,0.168946
418.jpg,0.020433,0.172833,0.806734
403.jpg,0.664347,0.334169,0.001484
228.jpg,0.266973,0.694504,0.038523
262.jpg,0.243434,0.735979,0.020587
373.jpg,0.132527,0.712995,0.154478
374.jpg,0.094235,0.442124,0.463641
72.jpg,0.353898,0.633537,0.012565
389.jpg,0.094000,0.776271,0.129729
71.jpg,0.083733,0.710388,0.205879
487.jpg,0.492417,0.495606,0.011977
117.jpg,0.199506,0.708476,0.092018
84.jpg,0.137685,0.662304,0.200011
163.jpg,0.152199,0.699059,0.148742
463.jpg,0.428121,0.559801,0.012078
312.jpg,0.346642,0.610290,0.043067
193.jpg,0.252587,0.644603,0.102810
159.jpg,0.158804,0.751258,0.089939
425.jpg,0.004734,0.161089,0.834177
292.jpg,0.502166,0.485333,0.012501
178.jpg,0.022410,0.214985,0.762605
366.jpg,0.002454,0.081100,0.916446
216.jpg,0.435167,0.536746,0.028088
70.jpg,0.253340,0.696508,0.050152
208.jpg,0.012455,0.187912,0.799633
466.jpg,0.076960,0.831728,0.091312
273.jpg,0.005701,0.078270,0.916029
180.jpg,0.002721,0.080823,0.916456
375.jpg,0.317435,0.645784,0.036781
229.jpg,0.128451,0.646381,0.225168
157.jpg,0.155077,0.640565,0.204358
231.jpg,0.525900,0.468844,0.005256
297.jpg,0.394005,0.547903,0.058092
493.jpg,0.180321,0.763958,0.055721
230.jpg,0.089183,0.504691,0.406126
311.jpg,0.108435,0.435046,0.456519
303.jpg,0.220743,0.683379,0.095878
295.jpg,0.244069,0.701956,0.053975
500.jpg,0.015035,0.207422,0.777542
353.jpg,0.025892,0.230502,0.743606
447.jpg,0.228561,0.678370,0.093069
379.jpg,0.002348,0.083564,0.914088
287.jpg,0.019678,0.151039,0.829283
270.jpg,0.023185,0.152730,0.824084
34.jpg,0.088074,0.573380,0.338545
318.jpg,0.336045,0.596230,0.067726
16.jpg,0.348055,0.602863,0.049082
333.jpg,0.002572,0.070986,0.926443
401.jpg,0.053897,0.636455,0.309649
492.jpg,0.461840,0.518206,0.019953
177.jpg,0.167667,0.768034,0.064300
310.jpg,0.016823,0.416000,0.567176
495.jpg,0.138599,0.801160,0.060241
75.jpg,0.302574,0.678720,0.018706
160.jpg,0.375382,0.609578,0.015040
399.jpg,0.022533,0.341359,0.636109
125.jpg,0.051557,0.283958,0.664485
26.jpg,0.258075,0.656100,0.085825
53.jpg,0.002325,0.086935,0.910740
474.jpg,0.044945,0.338406,0.616649
346.jpg,0.050946,0.623351,0.325704
400.jpg,0.061571,0.655369,0.283060
1.jpg,0.017320,0.292061,0.690619
150.jpg,0.337247,0.640326,0.022428
253.jpg,0.012154,0.152441,0.835405
18.jpg,0.409572,0.560922,0.029507
226.jpg,0.087326,0.593230,0.319444
296.jpg,0.286368,0.635775,0.077858
235.jpg,0.133115,0.702822,0.164062
172.jpg,0.062092,0.737671,0.200238
285.jpg,0.364037,0.592035,0.043928
4.jpg,0.002600,0.066530,0.930870
506.jpg,0.406886,0.579738,0.013376
33.jpg,0.127586,0.685944,0.186471
10.jpg,0.547265,0.445086,0.007649
97.jpg,0.060248,0.540755,0.398997
410.jpg,0.011054,0.170011,0.818935
139.jpg,0.546802,0.446636,0.006562
335.jpg,0.111055,0.379655,0.509290
31.jpg,0.225681,0.745517,0.028802
426.jpg,0.450946,0.533110,0.015944
94.jpg,0.181130,0.776581,0.042290
283.jpg,0.003519,0.111835,0.884646
113.jpg,0.024244,0.370613,0.605143
257.jpg,0.254440,0.702069,0.043491
325.jpg,0.183213,0.530397,0.286390
299.jpg,0.439040,0.548790,0.012170
116.jpg,0.005735,0.098280,0.895985
167.jpg,0.017166,0.136168,0.846665
83.jpg,0.002300,0.085121,0.912580
43.jpg,0.015198,0.505443,0.479360
300.jpg,0.303494,0.631001,0.065505
241.jpg,0.365337,0.576513,0.058150
165.jpg,0.722335,0.276628,0.001038
370.jpg,0.034888,0.322994,0.642118
332.jpg,0.390954,0.541950,0.067096
446.jpg,0.030240,0.361103,0.608657
0.jpg,0.143000,0.667629,0.189371
444.jpg,0.199098,0.737063,0.063839
57.jpg,0.092757,0.502793,0.404450
490.jpg,0.119711,0.780195,0.100095
456.jpg,0.418152,0.569971,0.011877
319.jpg,0.042032,0.760470,0.197498
308.jpg,0.534431,0.462208,0.003361
232.jpg,0.205617,0.717672,0.076710
68.jpg,0.040292,0.784658,0.175050
103.jpg,0.254311,0.575936,0.169754
184.jpg,0.004970,0.071514,0.923517
382.jpg,0.377329,0.590391,0.032280
391.jpg,0.010031,0.083777,0.906192
279.jpg,0.002581,0.073473,0.923946
344.jpg,0.338628,0.640010,0.021363
220.jpg,0.041694,0.376131,0.582175
305.jpg,0.072216,0.692949,0.234835
462.jpg,0.322503,0.626283,0.051215
252.jpg,0.004399,0.108344,0.887257
213.jpg,0.007615,0.200604,0.791781
428.jpg,0.104768,0.507906,0.387326
98.jpg,0.215804,0.730782,0.053414
227.jpg,0.035375,0.378764,0.585861
186.jpg,0.058368,0.800336,0.141296
429.jpg,0.022023,0.160734,0.817243
327.jpg,0.002330,0.081154,0.916516
137.jpg,0.357713,0.591216,0.051071
146.jpg,0.201176,0.730666,0.068157
371.jpg,0.585834,0.408385,0.005781
411.jpg,0.037576,0.400014,0.562410
288.jpg,0.070082,0.648570,0.281348
266.jpg,0.003793,0.067412,0.928795
380.jpg,0.017983,0.205133,0.776884
480.jpg,0.077993,0.776504,0.145503
118.jpg,0.003026,0.081908,0.915066
109.jpg,0.002318,0.086697,0.910985
245.jpg,0.360420,0.605004,0.034576
259.jpg,0.027113,0.173840,0.799047
27.jpg,0.003640,0.139690,0.856670
488.jpg,0.023623,0.163205,0.813173
486.jpg,0.058851,0.783784,0.157365
402.jpg,0.240569,0.626919,0.132513
15.jpg,0.037419,0.335534,0.627047
240.jpg,0.036771,0.261256,0.701973
154.jpg,0.608854,0.386402,0.004745
247.jpg,0.008187,0.124554,0.867259
476.jpg,0.469577,0.502386,0.028037
168.jpg,0.442216,0.523577,0.034207
472.jpg,0.091615,0.791404,0.116981
243.jpg,0.610463,0.387307,0.002230
392.jpg,0.051166,0.672509,0.276325
477.jpg,0.390709,0.592682,0.016610
423.jpg,0.181602,0.494947,0.323451
274.jpg,0.157745,0.587438,0.254817
46.jpg,0.027579,0.619513,0.352908
484.jpg,0.451539,0.518441,0.030020
416.jpg,0.481989,0.511729,0.006282
219.jpg,0.026448,0.425086,0.548466
424.jpg,0.078648,0.610118,0.311234
223.jpg,0.015371,0.143981,0.840647
328.jpg,0.009989,0.187030,0.802981
149.jpg,0.188343,0.554165,0.257491
215.jpg,0.510384,0.477597,0.012018
442.jpg,0.203895,0.690573,0.105532
49.jpg,0.002946,0.107308,0.889746
147.jpg,0.147452,0.471944,0.380604
152.jpg,0.094597,0.618349,0.287054
132.jpg,0.244622,0.648466,0.106912
246.jpg,0.267187,0.709669,0.023144
155.jpg,0.372359,0.570165,0.057477
51.jpg,0.406330,0.554901,0.038769
505.jpg,0.181597,0.735697,0.082706
407.jpg,0.389548,0.563652,0.046800
421.jpg,0.137704,0.631911,0.230384
189.jpg,0.040504,0.175120,0.784376
76.jpg,0.004307,0.085511,0.910183
101.jpg,0.203198,0.744203,0.052599
175.jpg,0.040289,0.239769,0.719942
212.jpg,0.435112,0.548020,0.016868
64.jpg,0.439232,0.530853,0.029915
440.jpg,0.003271,0.080493,0.916237
340.jpg,0.408837,0.559618,0.031545
336.jpg,0.592446,0.405598,0.001956
92.jpg,0.006235,0.073362,0.920403
307.jpg,0.002444,0.073201,0.924356
42.jpg,0.013105,0.382429,0.604466
81.jpg,0.309245,0.548587,0.142169
40.jpg,0.013432,0.144596,0.841972
185.jpg,0.378234,0.604317,0.017449
25.jpg,0.286330,0.672037,0.041633
190.jpg,0.092397,0.308750,0.598853
427.jpg,0.043002,0.291611,0.665387
99.jpg,0.041152,0.599956,0.358892
35.jpg,0.157803,0.700225,0.141973
173.jpg,0.046208,0.513490,0.440302
217.jpg,0.619616,0.378686,0.001698
351.jpg,0.077177,0.541486,0.381338
383.jpg,0.361429,0.612193,0.026378
269.jpg,0.651423,0.347757,0.000820
496.jpg,0.027572,0.516774,0.455655
130.jpg,0.262261,0.710143,0.027596
364.jpg,0.002340,0.082520,0.915139
96.jpg,0.136346,0.675533,0.188121
284.jpg,0.004573,0.064933,0.930494
431.jpg,0.693871,0.305782,0.000347
394.jpg,0.200740,0.726303,0.072957
306.jpg,0.178715,0.626817,0.194468
176.jpg,0.144791,0.519541,0.335668
376.jpg,0.011981,0.146129,0.841890
187.jpg,0.018783,0.174305,0.806911
195.jpg,0.112141,0.800738,0.087121
73.jpg,0.094502,0.612176,0.293322
330.jpg,0.145778,0.796846,0.057376
39.jpg,0.032374,0.382301,0.585325
129.jpg,0.376839,0.587900,0.035261
445.jpg,0.155518,0.657183,0.187298
413.jpg,0.011609,0.270391,0.718000
367.jpg,0.572827,0.421505,0.005668
59.jpg,0.479166,0.509191,0.011643
128.jpg,0.380721,0.594057,0.025223
264.jpg,0.017186,0.465880,0.516935
385.jpg,0.035137,0.614875,0.349989
79.jpg,0.496509,0.496324,0.007167
469.jpg,0.136954,0.602882,0.260164
408.jpg,0.080481,0.497081,0.422438
499.jpg,0.010244,0.080317,0.909440
355.jpg,0.157793,0.615687,0.226520
144.jpg,0.128569,0.753674,0.117757
145.jpg,0.120819,0.378391,0.500790
345.jpg,0.103912,0.721705,0.174383
