image_name,Type_1,Type_2,Type_3
82.jpg,0.486104,0.444556,0.069341
38.jpg,0.368298,0.476109,0.155593
418.jpg,0.031341,0.113250,0.855409
403.jpg,0.312755,0.362196,0.325050
228.jpg,0.337252,0.571885,0.090863
262.jpg,0.473985,0.486080,0.039935
373.jpg,0.314697,0.573102,0.112201
374.jpg,0.194107,0.516829,0.289064
72.jpg,0.658303,0.340334,0.001363
389.jpg,0.301442,0.600288,0.098270
71.jpg,0.132184,0.501873,0.365943
487.jpg,0.484719,0.454618,0.060663
117.jpg,0.322987,0.438164,0.238850
84.jpg,0.295143,0.486094,0.218763
163.jpg,0.317395,0.489375,0.193230
463.jpg,0.483149,0.434430,0.082420
312.jpg,0.395439,0.571127,0.033434
193.jpg,0.219789,0.536922,0.243288
159.jpg,0.162857,0.721625,0.115518
425.jpg,0.074100,0.151246,0.774654
292.jpg,0.353985,0.267759,0.378256
178.jpg,0.107899,0.218596,0.673506
366.jpg,0.014388,0.017390,0.968221
216.jpg,0.509744,0.433988,0.056267
70.jpg,0.669799,0.307776,0.022425
208.jpg,0.039004,0.252334,0.708662
466.jpg,0.409648,0.584456,0.005895
273.jpg,0.024322,0.107390,0.868288
180.jpg,0.062211,0.144926,0.792863
375.jpg,0.430063,0.403220,0.166716
229.jpg,0.214387,0.653560,0.132053
157.jpg,0.263426,0.530895,0.205679
231.jpg,0.805805,0.178729,0.015466
297.jpg,0.505305,0.380220,0.114475
493.jpg,0.498820,0.352275,0.148905
230.jpg,0.308482,0.385052,0.306466
311.jpg,0.061699,0.252347,0.685954
303.jpg,0.434784,0.550957,0.014260
295.jpg,0.213977,0.606332,0.179690
500.jpg,0.130252,0.282244,0.587504
353.jpg,0.031657,0.123822,0.844521
447.jpg,0.413985,0.447994,0.138020
379.jpg,0.011062,0.091627,0.897311
287.jpg,0.060165,0.199065,0.740769
270.jpg,0.023397,0.104703,0.871900
34.jpg,0.132678,0.474070,0.393252
318.jpg,0.489229,0.464049,0.046722
16.jpg,0.229976,0.613492,0.156533
333.jpg,0.090360,0.168212,0.741428
401.jpg,0.222856,0.544417,0.232727
492.jpg,0.489817,0.349098,0.161086
177.jpg,0.323446,0.528136,0.148418
310.jpg,0.197456,0.353306,0.449238
495.jpg,0.242333,0.677341,0.080326
75.jpg,0.541170,0.451150,0.007680
160.jpg,0.677764,0.306911,0.015325
399.jpg,0.186144,0.371004,0.442852
125.jpg,0.038066,0.260136,0.701798
26.jpg,0.461923,0.474830,0.063247
53.jpg,0.196103,0.203036,0.600862
474.jpg,0.205297,0.539931,0.254771
346.jpg,0.132580,0.459162,0.408258
400.jpg,0.066729,0.471483,0.461788
1.jpg,0.161139,0.443614,0.395248
150.jpg,0.578182,0.398538,0.023280
253.jpg,0.225364,0.192569,0.582067
18.jpg,0.587229,0.375472,0.037299
226.jpg,0.154293,0.360097,0.485610
296.jpg,0.523184,0.396957,0.079859
235.jpg,0.115122,0.530372,0.354506
172.jpg,0.151642,0.464130,0.384228
285.jpg,0.572497,0.336412,0.091091
4.jpg,0.067560,0.132155,0.800284
506.jpg,0.400754,0.515213,0.084033
33.jpg,0.282114,0.456418,0.261469
10.jpg,0.665285,0.329103,0.005611
97.jpg,0.197272,0.451041,0.351687
410.jpg,0.195199,0.631397,0.173404
139.jpg,0.333638,0.466270,0.200092
335.jpg,0.038430,0.178616,0.782954
31.jpg,0.445340,0.462539,0.092121
426.jpg,0.276797,0.503835,0.219368
94.jpg,0.353594,0.530858,0.115548
283.jpg,0.020277,0.078401,0.901323
113.jpg,0.089428,0.395303,0.515269
257.jpg,0.402280,0.503384,0.094336
325.jpg,0.150545,0.352277,0.497178
299.jpg,0.483958,0.402574,0.113468
116.jpg,0.013383,0.072057,0.914560
167.jpg,0.015295,0.094056,0.890649
83.jpg,0.002706,0.013068,0.984226
43.jpg,0.034241,0.190814,0.774945
300.jpg,0.426888,0.377293,0.195819
241.jpg,0.189459,0.303162,0.507379
165.jpg,0.737658,0.244683,0.017658
370.jpg,0.098764,0.332060,0.569176
332.jpg,0.307704,0.477192,0.215104
446.jpg,0.274596,0.316474,0.408929
0.jpg,0.367786,0.443406,0.188808
444.jpg,0.354329,0.515005,0.130667
57.jpg,0.528059,0.312544,0.159397
490.jpg,0.309827,0.514102,0.176071
456.jpg,0.382715,0.502886,0.114399
319.jpg,0.208994,0.708308,0.082698
308.jpg,0.635230,0.333534,0.031236
232.jpg,0.818862,0.165467,0.015670
68.jpg,0.204569,0.677946,0.117485
103.jpg,0.100128,0.440867,0.459005
184.jpg,0.022491,0.024477,0.953032
382.jpg,0.508283,0.401013,0.090704
391.jpg,0.034504,0.445497,0.520000
279.jpg,0.032164,0.051710,0.916126
344.jpg,0.776840,0.202651,0.020509
220.jpg,0.197626,0.450858,0.351516
305.jpg,0.138318,0.665258,0.196424
462.jpg,0.189981,0.458335,0.351684
252.jpg,0.111070,0.522071,0.366859
213.jpg,0.034200,0.326634,0.639166
428.jpg,0.180138,0.417687,0.402174
98.jpg,0.461524,0.491587,0.046889
227.jpg,0.119491,0.550497,0.330012
186.jpg,0.166045,0.798312,0.035642
429.jpg,0.037557,0.115990,0.846454
327.jpg,0.008401,0.047812,0.943787
137.jpg,0.226650,0.635962,0.137388
146.jpg,0.319207,0.606974,0.073819
371.jpg,0.304073,0.402575,0.293352
411.jpg,0.092094,0.402740,0.505166
288.jpg,0.183958,0.552580,0.263462
266.jpg,0.015222,0.156305,0.828474
380.jpg,0.088105,0.286279,0.625616
480.jpg,0.415912,0.471080,0.113009
118.jpg,0.017537,0.032130,0.950333
109.jpg,0.015051,0.021725,0.963224
245.jpg,0.655348,0.337145,0.007507
259.jpg,0.020264,0.149880,0.829856
27.jpg,0.090760,0.316725,0.592515
488.jpg,0.037476,0.204740,0.757785
486.jpg,0.284961,0.580038,0.135001
402.jpg,0.360835,0.395193,0.243972
15.jpg,0.097426,0.247871,0.654704
240.jpg,0.090390,0.337854,0.571757
154.jpg,0.527562,0.325517,0.146920
247.jpg,0.118319,0.381760,0.499922
476.jpg,0.539987,0.389503,0.070510
168.jpg,0.539542,0.414734,0.045724
472.jpg,0.559172,0.355168,0.085660
243.jpg,0.524266,0.318831,0.156903
392.jpg,0.202841,0.688424,0.108735
477.jpg,0.782291,0.215896,0.001813
423.jpg,0.108354,0.375763,0.515883
274.jpg,0.473807,0.318991,0.207202
46.jpg,0.114482,0.561164,0.324354
484.jpg,0.311797,0.427834,0.260369
416.jpg,0.756692,0.234700,0.008608
219.jpg,0.075664,0.574423,0.349912
424.jpg,0.143976,0.369827,0.486197
223.jpg,0.012717,0.222659,0.764624
328.jpg,0.097745,0.196530,0.705725
149.jpg,0.458040,0.369914,0.172046
215.jpg,0.476833,0.416719,0.106449
442.jpg,0.168654,0.612717,0.218629
49.jpg,0.005244,0.034213,0.960543
147.jpg,0.070955,0.477243,0.451802
152.jpg,0.103347,0.540897,0.355756
132.jpg,0.225828,0.485875,0.288297
246.jpg,0.144840,0.674161,0.180999
155.jpg,0.335895,0.430237,0.233868
51.jpg,0.755110,0.186704,0.058186
505.jpg,0.158761,0.691160,0.150078
407.jpg,0.439376,0.529575,0.031050
