image_name,Type_1,Type_2,Type_3
82.jpg,0.577646,0.403105,0.019249
38.jpg,0.279379,0.513460,0.207161
418.jpg,0.033674,0.191852,0.774474
403.jpg,0.565298,0.371128,0.063575
228.jpg,0.273510,0.673991,0.052498
262.jpg,0.529554,0.417969,0.052477
373.jpg,0.271363,0.546325,0.182312
374.jpg,0.121313,0.542576,0.336111
72.jpg,0.487842,0.505513,0.006645
389.jpg,0.229917,0.592462,0.177621
71.jpg,0.269078,0.521503,0.209419
487.jpg,0.567378,0.394262,0.038360
117.jpg,0.618786,0.320021,0.061193
84.jpg,0.355840,0.459718,0.184441
163.jpg,0.483637,0.392933,0.123430
463.jpg,0.494765,0.470493,0.034743
312.jpg,0.313367,0.610511,0.076122
193.jpg,0.444073,0.446901,0.109026
159.jpg,0.185867,0.680030,0.134103
425.jpg,0.054443,0.242111,0.703446
292.jpg,0.507660,0.408273,0.084067
178.jpg,0.086994,0.327306,0.585700
366.jpg,0.020283,0.111226,0.868491
216.jpg,0.586342,0.359664,0.053994
70.jpg,0.428585,0.472023,0.099392
208.jpg,0.066888,0.405070,0.528042
466.jpg,0.226552,0.736922,0.036526
273.jpg,0.051426,0.222243,0.726331
180.jpg,0.042953,0.225958,0.731089
375.jpg,0.384591,0.532629,0.082780
229.jpg,0.208266,0.612348,0.179386
157.jpg,0.200325,0.517310,0.282365
231.jpg,0.758612,0.228707,0.012681
297.jpg,0.515925,0.403836,0.080239
493.jpg,0.329135,0.484800,0.186066
230.jpg,0.232363,0.464260,0.303376
311.jpg,0.086267,0.386520,0.527213
303.jpg,0.432818,0.501257,0.065925
295.jpg,0.229715,0.699489,0.070797
500.jpg,0.207286,0.444980,0.347734
353.jpg,0.036631,0.265846,0.697523
447.jpg,0.283804,0.511655,0.204540
379.jpg,0.078006,0.176619,0.745376
287.jpg,0.120586,0.328331,0.551083
270.jpg,0.031972,0.240179,0.727849
34.jpg,0.140520,0.460084,0.399396
318.jpg,0.386094,0.525186,0.088720
16.jpg,0.209938,0.559074,0.230988
333.jpg,0.052476,0.232917,0.714607
401.jpg,0.148534,0.640917,0.210549
492.jpg,0.689228,0.276370,0.034401
177.jpg,0.239977,0.698842,0.061181
310.jpg,0.028967,0.427608,0.543425
495.jpg,0.236345,0.682297,0.081358
75.jpg,0.402095,0.584079,0.013826
160.jpg,0.528334,0.452634,0.019032
399.jpg,0.215257,0.394015,0.390728
125.jpg,0.056537,0.329944,0.613519
26.jpg,0.465568,0.449748,0.084685
53.jpg,0.125730,0.259808,0.614462
474.jpg,0.149686,0.468205,0.382109
346.jpg,0.274425,0.478467,0.247107
400.jpg,0.086313,0.507180,0.406507
1.jpg,0.100546,0.350492,0.548962
150.jpg,0.479836,0.495932,0.024231
253.jpg,0.136423,0.293232,0.570346
18.jpg,0.406270,0.474943,0.118787
226.jpg,0.281366,0.419662,0.298972
296.jpg,0.360348,0.515705,0.123947
235.jpg,0.155235,0.466920,0.377845
172.jpg,0.302718,0.438199,0.259083
285.jpg,0.619842,0.334662,0.045496
4.jpg,0.091341,0.182579,0.726081
506.jpg,0.473565,0.502309,0.024126
33.jpg,0.238300,0.443979,0.317721
10.jpg,0.568574,0.420573,0.010853
97.jpg,0.334453,0.421655,0.243892
410.jpg,0.151878,0.513371,0.334751
139.jpg,0.407677,0.539283,0.053041
335.jpg,0.058384,0.340298,0.601317
31.jpg,0.529046,0.420456,0.050498
426.jpg,0.346953,0.508353,0.144694
94.jpg,0.385281,0.584268,0.030451
