#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1479.jpg,3159124,{},4,0,"{""name"":""point"",""cx"":638,""cy"":1118}",{}
1479.jpg,3159124,{},4,1,"{""name"":""point"",""cx"":1096,""cy"":1096}",{}
1479.jpg,3159124,{},4,2,"{""name"":""point"",""cx"":1485,""cy"":919}",{}
1479.jpg,3159124,{},4,3,"{""name"":""rect"",""x"":177,""y"":361,""width"":1799,""height"":1539}","{""cervix shape"":""curve""}"
1477.jpg,3754989,{},4,0,"{""name"":""point"",""cx"":1276,""cy"":984}",{}
1477.jpg,3754989,{},4,1,"{""name"":""point"",""cx"":1265,""cy"":1020}",{}
1477.jpg,3754989,{},4,2,"{""name"":""point"",""cx"":1320,""cy"":1013}",{}
1477.jpg,3754989,{},4,3,"{""name"":""rect"",""x"":663,""y"":303,""width"":1204,""height"":1399}","{""cervix shape"":""circle""}"
1475.jpg,3209468,{},4,0,"{""name"":""point"",""cx"":1143,""cy"":858}",{}
1475.jpg,3209468,{},4,1,"{""name"":""point"",""cx"":1392,""cy"":930}",{}
1475.jpg,3209468,{},4,2,"{""name"":""point"",""cx"":1658,""cy"":941}",{}
1475.jpg,3209468,{},4,3,"{""name"":""rect"",""x"":743,""y"":404,""width"":1334,""height"":1110}","{""cervix shape"":""curve""}"
1470.jpg,4071939,{},4,0,"{""name"":""point"",""cx"":1136,""cy"":1320}",{}
1470.jpg,4071939,{},4,1,"{""name"":""point"",""cx"":1226,""cy"":1327}",{}
1470.jpg,4071939,{},4,2,"{""name"":""point"",""cx"":1298,""cy"":1316}",{}
1470.jpg,4071939,{},4,3,"{""name"":""rect"",""x"":793,""y"":894,""width"":836,""height"":1103}","{""cervix shape"":""curve""}"
1469.jpg,3184021,{},4,0,"{""name"":""point"",""cx"":1157,""cy"":1875}",{}
1469.jpg,3184021,{},4,1,"{""name"":""point"",""cx"":1179,""cy"":1882}",{}
1469.jpg,3184021,{},4,2,"{""name"":""point"",""cx"":1201,""cy"":1889}",{}
1469.jpg,3184021,{},4,3,"{""name"":""rect"",""x"":847,""y"":1547,""width"":761,""height"":674}","{""cervix shape"":""circle""}"
1461.jpg,2732277,{},4,0,"{""name"":""point"",""cx"":847,""cy"":1366}",{}
1461.jpg,2732277,{},4,1,"{""name"":""point"",""cx"":876,""cy"":1363}",{}
1461.jpg,2732277,{},4,2,"{""name"":""point"",""cx"":891,""cy"":1327}",{}
1461.jpg,2732277,{},4,3,"{""name"":""rect"",""x"":440,""y"":1017,""width"":955,""height"":840}","{""cervix shape"":""circle""}"
1460.jpg,2721023,{},4,0,"{""name"":""point"",""cx"":1423,""cy"":1673}",{}
1460.jpg,2721023,{},4,1,"{""name"":""point"",""cx"":1523,""cy"":1614}",{}
1460.jpg,2721023,{},4,2,"{""name"":""point"",""cx"":1628,""cy"":1596}",{}
1460.jpg,2721023,{},4,3,"{""name"":""rect"",""x"":296,""y"":606,""width"":2344,""height"":2129}","{""cervix shape"":""curve""}"
1459.jpg,3574303,{},4,0,"{""name"":""point"",""cx"":1143,""cy"":1525}",{}
1459.jpg,3574303,{},4,1,"{""name"":""point"",""cx"":1338,""cy"":1644}",{}
1459.jpg,3574303,{},4,2,"{""name"":""point"",""cx"":1446,""cy"":1651}",{}
1459.jpg,3574303,{},4,3,"{""name"":""rect"",""x"":869,""y"":1161,""width"":829,""height"":790}","{""cervix shape"":""curve""}"
1458.jpg,2223630,{},4,0,"{""name"":""point"",""cx"":1222,""cy"":2044}",{}
1458.jpg,2223630,{},4,1,"{""name"":""point"",""cx"":1320,""cy"":2033}",{}
1458.jpg,2223630,{},4,2,"{""name"":""point"",""cx"":1410,""cy"":2037}",{}
1458.jpg,2223630,{},4,3,"{""name"":""rect"",""x"":793,""y"":1514,""width"":1035,""height"":937}","{""cervix shape"":""curve""}"
1455.jpg,3877809,{},4,0,"{""name"":""point"",""cx"":995,""cy"":1648}",{}
1455.jpg,3877809,{},4,1,"{""name"":""point"",""cx"":1013,""cy"":1651}",{}
1455.jpg,3877809,{},4,2,"{""name"":""point"",""cx"":1013,""cy"":1630}",{}
1455.jpg,3877809,{},4,3,"{""name"":""rect"",""x"":728,""y"":1388,""width"":671,""height"":566}","{""cervix shape"":""circle""}"
1448.jpg,3399229,{},4,0,"{""name"":""point"",""cx"":1306,""cy"":892}",{}
1448.jpg,3399229,{},4,1,"{""name"":""point"",""cx"":1385,""cy"":914}",{}
1448.jpg,3399229,{},4,2,"{""name"":""point"",""cx"":1441,""cy"":890}",{}
