exp_id,exp_desc,algo,params,test_rmse,train_rmse,train_time
4430,Base version. Just with agg features,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.49469376079185334, 'learning_rate': 0.025583234713119535, 'min_child_weight': 150, 'min_split_gain': 0.8621409463339186, 'n_estimators': 400, 'num_leaves': 147, 'reg_alpha': 0.005850149237906841, 'reg_lambda': 0.050637855408609225, 'subsample_for_bin': 140000.0, 'subsample': 0.9203903593717339}",3.6667929927200427,3.369126062745779,44.60487775999991
5452,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.5343335397134816, 'learning_rate': 0.026415153816665586, 'min_child_weight': 175, 'min_split_gain': 0.208520333969608, 'n_estimators': 300, 'num_leaves': 166, 'reg_alpha': 0.5985520716668008, 'reg_lambda': 0.5845867274942314, 'subsample_for_bin': 300000.0, 'subsample': 0.2997732384558456}",3.684322642686299,3.6136949509580107,121.12647855700015
9797,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.6473980109674866, 'learning_rate': 0.041307093027636604, 'min_child_weight': 165, 'min_split_gain': 0.4251945969203937, 'n_estimators': 100, 'num_leaves': 183, 'reg_alpha': 0.5005519711106031, 'reg_lambda': 0.45127104117580963, 'subsample_for_bin': 260000.0, 'subsample': 0.3738991074449508}",3.696545370552505,3.6370622170882556,28.691528426000332
7096,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.8431730228779692, 'learning_rate': 0.2326068943414133, 'min_child_weight': 170, 'min_split_gain': 0.573011526725551, 'n_estimators': 300, 'num_leaves': 132, 'reg_alpha': 0.8878141271933369, 'reg_lambda': 0.9836352928816144, 'subsample_for_bin': 220000.0, 'subsample': 0.1178433632418384}",3.7438518748507597,3.717265557575614,32.27017761600018
1450,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.9485724361080895, 'learning_rate': 0.03714671599296759, 'min_child_weight': 170, 'min_split_gain': 0.6885014344616032, 'n_estimators': 700, 'num_leaves': 155, 'reg_alpha': 0.47833140630951054, 'reg_lambda': 0.06282000228404444, 'subsample_for_bin': 140000.0, 'subsample': 0.6097300486738516}",3.6746815240432293,3.4876555590653076,319.7425719619996
7579,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.7600153239760029, 'learning_rate': 0.011950826038917567, 'min_child_weight': 200, 'min_split_gain': 0.1949999808885714, 'n_estimators': 400, 'num_leaves': 31, 'reg_alpha': 0.20937720122427386, 'reg_lambda': 0.8946991641582045, 'subsample_for_bin': 20000.0, 'subsample': 0.15589794746574595}",3.718526560462542,3.703526165931278,98.93972998400022
9848,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.41672591015973115, 'learning_rate': 0.3334520825438481, 'min_child_weight': 200, 'min_split_gain': 0.7253388357877381, 'n_estimators': 400, 'num_leaves': 51, 'reg_alpha': 0.1657956850311905, 'reg_lambda': 0.43707974881466716, 'subsample_for_bin': 120000.0, 'subsample': 0.42559383140646034}",3.741458332771343,3.688864596019087,23.413653856000565
4170,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.5343335397134816, 'learning_rate': 0.026415153816665586, 'min_child_weight': 175, 'min_split_gain': 0.208520333969608, 'n_estimators': 300, 'num_leaves': 166, 'reg_alpha': 0.5985520716668008, 'reg_lambda': 0.5845867274942314, 'subsample_for_bin': 300000.0, 'subsample': 0.2997732384558456}",3.6846991648962977,3.6155318022861707,124.33756297299988
6982,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.6473980109674866, 'learning_rate': 0.041307093027636604, 'min_child_weight': 165, 'min_split_gain': 0.4251945969203937, 'n_estimators': 100, 'num_leaves': 183, 'reg_alpha': 0.5005519711106031, 'reg_lambda': 0.45127104117580963, 'subsample_for_bin': 260000.0, 'subsample': 0.3738991074449508}",3.696009272301961,3.637765628411325,28.786438201000237
4639,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.8431730228779692, 'learning_rate': 0.2326068943414133, 'min_child_weight': 170, 'min_split_gain': 0.573011526725551, 'n_estimators': 300, 'num_leaves': 132, 'reg_alpha': 0.8878141271933369, 'reg_lambda': 0.9836352928816144, 'subsample_for_bin': 220000.0, 'subsample': 0.1178433632418384}",3.752636450923542,3.732367256641757,28.96183210900017
