image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.020027,0.000288,0.000730,0.000058,0.977700,0.000748,0.000166,0.000283
img_00007.jpg,0.302905,0.197988,0.009187,0.028931,0.048316,0.138644,0.012155,0.261874
img_00009.jpg,0.780572,0.043001,0.002082,0.001962,0.026182,0.129191,0.002668,0.014344
img_00018.jpg,0.860183,0.010540,0.004268,0.004023,0.000416,0.085748,0.003966,0.030857
img_00027.jpg,0.590493,0.091382,0.000952,0.001739,0.010485,0.089426,0.025087,0.190435
img_00030.jpg,0.148862,0.000999,0.000907,0.000180,0.822224,0.001023,0.001860,0.023945
img_00040.jpg,0.233134,0.111024,0.004644,0.004184,0.004973,0.082996,0.362152,0.196893
img_00046.jpg,0.711555,0.002652,0.000724,0.000139,0.277626,0.002491,0.003382,0.001432
img_00053.jpg,0.966927,0.001855,0.009577,0.001308,0.003791,0.003822,0.000238,0.012484
img_00071.jpg,0.176078,0.011713,0.004246,0.530912,0.161276,0.092423,0.015845,0.007506
img_00075.jpg,0.430165,0.030483,0.001463,0.002195,0.016966,0.475442,0.000887,0.042399
img_00102.jpg,0.074963,0.062459,0.002636,0.003609,0.003741,0.101056,0.039716,0.711821
img_00103.jpg,0.439849,0.006249,0.011363,0.016810,0.008076,0.037760,0.001862,0.478031
img_00109.jpg,0.881235,0.000894,0.001203,0.000043,0.092722,0.002520,0.001128,0.020254
img_00119.jpg,0.003597,0.004798,0.000442,0.000188,0.930594,0.002156,0.000345,0.057879
img_00120.jpg,0.276293,0.006208,0.003866,0.000933,0.010702,0.010998,0.028069,0.662931
img_00125.jpg,0.846823,0.016278,0.001525,0.001378,0.004559,0.025538,0.003889,0.100011
img_00128.jpg,0.004356,0.065664,0.161558,0.000220,0.001718,0.003798,0.000411,0.762275
img_00129.jpg,0.348242,0.128850,0.015851,0.006220,0.005642,0.059503,0.215342,0.220351
img_00133.jpg,0.105690,0.015846,0.000419,0.003341,0.728215,0.096368,0.002096,0.048024
img_00138.jpg,0.855079,0.040974,0.012026,0.002434,0.028126,0.012021,0.001879,0.047461
img_00141.jpg,0.004432,0.020262,0.069715,0.000345,0.000494,0.004395,0.001650,0.898706
img_00152.jpg,0.034603,0.005070,0.004706,0.000749,0.001879,0.031505,0.000968,0.920520
img_00161.jpg,0.003429,0.001583,0.001287,0.000050,0.010194,0.024336,0.000330,0.958791
img_00164.jpg,0.012729,0.002654,0.003473,0.000490,0.852295,0.014359,0.003275,0.110724
img_00170.jpg,0.794679,0.007045,0.002750,0.019655,0.035638,0.126711,0.000682,0.012840
img_00171.jpg,0.244668,0.002077,0.002299,0.021101,0.003506,0.722284,0.000719,0.003347
img_00172.jpg,0.045959,0.000759,0.000755,0.000105,0.949145,0.001543,0.000438,0.001296
img_00175.jpg,0.197311,0.005031,0.003041,0.043877,0.004992,0.741464,0.000954,0.003331
img_00180.jpg,0.387260,0.003927,0.001795,0.000707,0.022166,0.008395,0.002143,0.573606
img_00196.jpg,0.005340,0.005596,0.000218,0.000089,0.977122,0.001737,0.000217,0.009681
img_00212.jpg,0.123815,0.001514,0.000577,0.000276,0.012393,0.002247,0.000500,0.858678
img_00223.jpg,0.611950,0.008390,0.210718,0.002160,0.001501,0.111293,0.000897,0.053091
img_00230.jpg,0.864980,0.069738,0.003155,0.003171,0.000184,0.008193,0.003564,0.047015
img_00232.jpg,0.007564,0.054817,0.001059,0.000657,0.004659,0.000844,0.920324,0.010077
img_00244.jpg,0.629257,0.266087,0.000746,0.003867,0.005452,0.050171,0.007221,0.037199
img_00272.jpg,0.649807,0.139918,0.115935,0.002006,0.002897,0.017230,0.000735,0.071472
img_00280.jpg,0.675981,0.002866,0.005703,0.000765,0.260738,0.004411,0.001173,0.048363
img_00282.jpg,0.152827,0.002458,0.002183,0.015916,0.003649,0.818930,0.000501,0.003536
img_00285.jpg,0.753819,0.033973,0.003458,0.002950,0.030810,0.011478,0.029386,0.134127
img_00289.jpg,0.734872,0.003369,0.002608,0.000568,0.220864,0.009137,0.000242,0.028340
img_00292.jpg,0.349390,0.100976,0.001711,0.003463,0.020939,0.070422,0.015060,0.438039
img_00302.jpg,0.297627,0.083256,0.005348,0.003858,0.006011,0.052080,0.253314,0.298507
img_00311.jpg,0.972842,0.009998,0.000249,0.000061,0.012874,0.000954,0.000117,0.002905
img_00320.jpg,0.989589,0.000693,0.002763,0.000029,0.000774,0.000148,0.000234,0.005770
img_00331.jpg,0.312120,0.047978,0.007225,0.003664,0.022641,0.289869,0.069207,0.247295
img_00358.jpg,0.408798,0.027280,0.001204,0.002401,0.006700,0.274092,0.021355,0.258171
img_00374.jpg,0.819877,0.017289,0.009401,0.002782,0.000832,0.018836,0.000629,0.130354
img_00375.jpg,0.312175,0.183084,0.060886,0.015438,0.244433,0.160060,0.002680,0.021244
img_00376.jpg,0.520995,0.011063,0.004400,0.001230,0.014820,0.053415,0.067038,0.327038
img_00380.jpg,0.838098,0.012493,0.010208,0.005087,0.039381,0.091213,0.001593,0.001928
img_00383.jpg,0.953793,0.012186,0.000394,0.000086,0.024273,0.001036,0.000307,0.007925
img_00398.jpg,0.601321,0.004928,0.000688,0.000130,0.348747,0.014988,0.010376,0.018822
img_00407.jpg,0.745610,0.014170,0.015811,0.065048,0.010835,0.122852,0.001201,0.024473
img_00417.jpg,0.172743,0.001139,0.000628,0.000212,0.009960,0.002578,0.000332,0.812408
img_00432.jpg,0.688415,0.069730,0.049576,0.006514,0.027797,0.112283,0.006807,0.038879
img_00442.jpg,0.011384,0.007720,0.047802,0.000088,0.000874,0.012597,0.001178,0.918356
img_00446.jpg,0.778474,0.038909,0.000833,0.005885,0.040984,0.123814,0.001219,0.009883
img_00469.jpg,0.648521,0.046613,0.002593,0.011339,0.038192,0.151493,0.015145,0.086103
img_00473.jpg,0.878243,0.001188,0.003092,0.000366,0.009396,0.002197,0.001281,0.104237
img_00483.jpg,0.885791,0.003799,0.000734,0.000059,0.040061,0.000381,0.000571,0.068604
img_00484.jpg,0.587293,0.117620,0.002493,0.013768,0.077337,0.072199,0.016494,0.112797
img_00486.jpg,0.894265,0.006900,0.073527,0.005198,0.002488,0.008631,0.000343,0.008647
img_00487.jpg,0.009287,0.004244,0.000562,0.000930,0.970702,0.002419,0.010553,0.001303
img_00493.jpg,0.123504,0.014574,0.002685,0.003299,0.802955,0.030469,0.001815,0.020700
img_00518.jpg,0.890211,0.000640,0.001072,0.000170,0.092101,0.006551,0.003960,0.005295
img_00533.jpg,0.220091,0.060298,0.001355,0.002858,0.006767,0.091886,0.107393,0.509351
img_00538.jpg,0.803079,0.006785,0.007761,0.004500,0.013456,0.042757,0.000864,0.120798
img_00543.jpg,0.978223,0.009363,0.000223,0.000065,0.009326,0.000852,0.000122,0.001825
img_00550.jpg,0.810973,0.036164,0.036339,0.002589,0.008571,0.093975,0.005144,0.006246
img_00551.jpg,0.615122,0.006630,0.008234,0.032819,0.058603,0.264108,0.000776,0.013708
img_00564.jpg,0.024963,0.002119,0.001063,0.000419,0.954722,0.013709,0.000649,0.002354
img_00575.jpg,0.283877,0.043521,0.003691,0.002169,0.020652,0.078771,0.051356,0.515963
img_00582.jpg,0.553250,0.019624,0.003414,0.001945,0.142697,0.241478,0.001912,0.035680
img_00584.jpg,0.900364,0.001284,0.000534,0.000071,0.093862,0.000409,0.000259,0.003218
img_00587.jpg,0.629043,0.059931,0.000757,0.000931,0.006669,0.041516,0.008822,0.252330
img_00590.jpg,0.429522,0.021959,0.005778,0.001855,0.016267,0.010626,0.029614,0.484378
img_00591.jpg,0.317258,0.009613,0.003836,0.000513,0.002598,0.007989,0.005807,0.652387
img_00598.jpg,0.954213,0.003430,0.001043,0.001613,0.002297,0.013484,0.000497,0.023422
img_00599.jpg,0.617858,0.009078,0.001374,0.000860,0.003963,0.025619,0.056827,0.284422
img_00612.jpg,0.706497,0.026687,0.000825,0.002615,0.011525,0.132106,0.029285,0.090461
img_00618.jpg,0.539661,0.001657,0.000938,0.000160,0.450345,0.001366,0.000131,0.005743
img_00620.jpg,0.972885,0.006054,0.003364,0.000626,0.005112,0.004152,0.000219,0.007588
img_00642.jpg,0.226848,0.012787,0.006694,0.699179,0.002228,0.022345,0.005050,0.024869
img_00646.jpg,0.111655,0.006886,0.070878,0.000187,0.000668,0.009433,0.001864,0.798429
img_00648.jpg,0.973561,0.012560,0.000189,0.000066,0.010131,0.000773,0.000109,0.002611
img_00650.jpg,0.655972,0.039888,0.008583,0.003165,0.015996,0.082624,0.145591,0.048181
img_00654.jpg,0.570109,0.023116,0.048102,0.003652,0.207399,0.055141,0.003439,0.089040
img_00664.jpg,0.984719,0.000647,0.001469,0.000059,0.010444,0.000050,0.000050,0.002563
img_00667.jpg,0.007388,0.002045,0.000044,0.000026,0.985178,0.000447,0.000057,0.004816
img_00676.jpg,0.002619,0.004531,0.000437,0.000108,0.952369,0.002817,0.000188,0.036932
img_00697.jpg,0.001622,0.019353,0.021059,0.000146,0.000123,0.001148,0.000647,0.955902
img_00708.jpg,0.465342,0.044163,0.001477,0.002586,0.020628,0.124300,0.041457,0.300046
img_00716.jpg,0.151204,0.118251,0.001982,0.004283,0.012962,0.072734,0.148816,0.489767
img_00717.jpg,0.797034,0.121378,0.001056,0.022186,0.001758,0.041914,0.005072,0.009602
img_00718.jpg,0.529476,0.004733,0.007609,0.031933,0.184427,0.203070,0.004172,0.034580
img_00723.jpg,0.595479,0.007711,0.000431,0.000307,0.382050,0.001842,0.000864,0.011317
img_00724.jpg,0.707574,0.002030,0.006169,0.001849,0.074027,0.009832,0.125322,0.073197
img_00726.jpg,0.968132,0.000189,0.000616,0.000116,0.003305,0.001234,0.015899,0.010508
img_00729.jpg,0.812446,0.000549,0.000392,0.000067,0.177356,0.003676,0.002363,0.003151
img_00730.jpg,0.208056,0.011877,0.002740,0.000886,0.015163,0.020915,0.045720,0.694641
img_00757.jpg,0.946794,0.003281,0.019342,0.005627,0.003255,0.013517,0.000449,0.007735
img_00760.jpg,0.309938,0.034671,0.005894,0.558062,0.020574,0.048937,0.010714,0.011209
img_00763.jpg,0.010330,0.008473,0.000332,0.000033,0.876499,0.000191,0.000217,0.103925
img_00764.jpg,0.101258,0.111608,0.010570,0.000881,0.104163,0.009269,0.001519,0.660732
img_00765.jpg,0.275549,0.072787,0.002740,0.012446,0.011514,0.578255,0.005342,0.041368
img_00772.jpg,0.026207,0.013262,0.363458,0.000128,0.004657,0.003406,0.000542,0.588340
img_00773.jpg,0.456577,0.028202,0.194441,0.030327,0.019387,0.264694,0.002545,0.003827
img_00777.jpg,0.652305,0.120612,0.000528,0.003204,0.018509,0.181720,0.002662,0.020460
img_00780.jpg,0.046462,0.056344,0.060688,0.000351,0.004575,0.052104,0.003950,0.775527
img_00798.jpg,0.875264,0.022582,0.002536,0.010758,0.016279,0.015549,0.001580,0.055452
img_00808.jpg,0.977636,0.003859,0.000402,0.001207,0.000869,0.005527,0.000281,0.010219
img_00816.jpg,0.943009,0.001381,0.000590,0.000029,0.007683,0.000220,0.000095,0.046992
img_00828.jpg,0.000984,0.001447,0.000311,0.000022,0.992957,0.003007,0.000246,0.001025
img_00833.jpg,0.253914,0.029837,0.001073,0.001588,0.007914,0.297369,0.054866,0.353439
img_00837.jpg,0.919871,0.023075,0.002236,0.003654,0.004039,0.017840,0.000581,0.028704
img_00855.jpg,0.796775,0.048022,0.006224,0.002437,0.022054,0.033150,0.017375,0.073964
img_00857.jpg,0.989787,0.003316,0.001502,0.000047,0.001879,0.000423,0.000328,0.002720
img_00858.jpg,0.925194,0.007053,0.000868,0.000683,0.038963,0.004578,0.000283,0.022377
img_00865.jpg,0.838414,0.114100,0.001437,0.003605,0.000447,0.024236,0.000740,0.017021
img_00876.jpg,0.003041,0.007340,0.000544,0.000186,0.917443,0.003615,0.000412,0.067419
img_00889.jpg,0.061523,0.030938,0.148085,0.000568,0.010958,0.015252,0.000408,0.732268
img_00894.jpg,0.609477,0.004132,0.006567,0.001065,0.196101,0.002719,0.001561,0.178379
img_00902.jpg,0.013370,0.083568,0.000921,0.000681,0.008798,0.000472,0.883341,0.008849
img_00914.jpg,0.064298,0.036666,0.103605,0.000672,0.138622,0.019217,0.002570,0.634351
img_00921.jpg,0.564604,0.019711,0.006154,0.001761,0.010727,0.054427,0.048955,0.293659
img_00927.jpg,0.553088,0.022417,0.011854,0.001905,0.041795,0.014084,0.013317,0.341541
img_00943.jpg,0.877524,0.004720,0.000651,0.000076,0.033692,0.000799,0.001000,0.081538
img_00948.jpg,0.324794,0.005171,0.012591,0.004321,0.272559,0.009685,0.003231,0.367648
img_00950.jpg,0.288966,0.007927,0.023191,0.000952,0.628550,0.011417,0.001794,0.037204
img_00959.jpg,0.833150,0.003318,0.000392,0.000231,0.141669,0.007316,0.002401,0.011524
img_00962.jpg,0.005562,0.037826,0.019856,0.000173,0.002550,0.004455,0.000391,0.929187
img_00964.jpg,0.019527,0.148303,0.538389,0.000702,0.003236,0.008042,0.004959,0.276844
img_00966.jpg,0.724622,0.026696,0.003478,0.000333,0.100539,0.001903,0.009373,0.133056
img_00974.jpg,0.871331,0.047826,0.001705,0.032607,0.001580,0.021672,0.002080,0.021199
img_00979.jpg,0.053412,0.121435,0.141380,0.000779,0.000702,0.032686,0.010058,0.639548
img_00982.jpg,0.591481,0.361315,0.008994,0.000945,0.005626,0.007335,0.001151,0.023154
img_00985.jpg,0.319562,0.090745,0.001376,0.002970,0.029494,0.054332,0.026010,0.475511
img_00999.jpg,0.863790,0.003925,0.000742,0.000175,0.000812,0.008514,0.005862,0.116181
img_01022.jpg,0.800348,0.007204,0.001024,0.010086,0.100614,0.032514,0.000432,0.047777
img_01031.jpg,0.897706,0.007837,0.024447,0.000972,0.025200,0.035553,0.000154,0.008131
img_01035.jpg,0.744001,0.144577,0.000191,0.002279,0.038347,0.061967,0.001630,0.007008
img_01043.jpg,0.055156,0.021767,0.004793,0.001429,0.886361,0.008442,0.001562,0.020490
img_01058.jpg,0.623839,0.035444,0.002689,0.000137,0.004290,0.000807,0.000677,0.332116
img_01059.jpg,0.674960,0.061917,0.003272,0.008093,0.012631,0.061660,0.068165,0.109302
img_01090.jpg,0.076653,0.041867,0.002260,0.000186,0.837519,0.001661,0.000156,0.039697
img_01102.jpg,0.187959,0.218869,0.134136,0.005002,0.081190,0.005014,0.000895,0.366934
img_01103.jpg,0.234790,0.474543,0.005445,0.005013,0.004253,0.012663,0.002976,0.260316
img_01116.jpg,0.929648,0.011805,0.010198,0.009133,0.001249,0.023894,0.000506,0.013567
img_01134.jpg,0.689562,0.002695,0.006298,0.023646,0.051118,0.217253,0.000518,0.008911
img_01142.jpg,0.829803,0.001873,0.003208,0.000340,0.005098,0.007311,0.000222,0.152144
img_01168.jpg,0.137383,0.127818,0.002509,0.007505,0.021097,0.678018,0.009336,0.016334
img_01171.jpg,0.019716,0.009660,0.000587,0.000035,0.773933,0.000148,0.000208,0.195713
img_01177.jpg,0.788509,0.007069,0.007622,0.001791,0.081964,0.021366,0.000722,0.090957
img_01179.jpg,0.952541,0.004873,0.000330,0.013343,0.003497,0.023099,0.000287,0.002029
img_01188.jpg,0.286341,0.070407,0.002064,0.014173,0.011564,0.586179,0.005541,0.023730
img_01198.jpg,0.398701,0.053565,0.006363,0.002436,0.363677,0.013569,0.002149,0.159539
img_01204.jpg,0.004726,0.003188,0.000033,0.000013,0.984515,0.000247,0.000046,0.007234
img_01208.jpg,0.395940,0.004634,0.008354,0.000272,0.569744,0.006503,0.000857,0.013696
img_01211.jpg,0.963093,0.002305,0.001290,0.000028,0.012904,0.000280,0.000235,0.019864
img_01213.jpg,0.883178,0.046804,0.010250,0.004044,0.002500,0.017568,0.002108,0.033549
img_01222.jpg,0.590763,0.123461,0.004941,0.059201,0.005527,0.028650,0.032853,0.154604
img_01224.jpg,0.026447,0.091715,0.172963,0.000283,0.000728,0.011472,0.001345,0.695047
img_01237.jpg,0.347145,0.009457,0.000387,0.000276,0.594617,0.023886,0.008769,0.015463
img_01249.jpg,0.211482,0.008066,0.060119,0.009944,0.692583,0.007711,0.002471,0.007623
img_01253.jpg,0.011776,0.006183,0.003407,0.000104,0.031773,0.017384,0.000636,0.928737
img_01286.jpg,0.375011,0.019074,0.000855,0.001005,0.490466,0.026231,0.003855,0.083502
img_01289.jpg,0.438525,0.063586,0.003088,0.008913,0.041673,0.149775,0.083160,0.211281
img_01325.jpg,0.132405,0.185925,0.005466,0.001193,0.558868,0.002781,0.000386,0.112976
img_01328.jpg,0.875578,0.022744,0.017785,0.005326,0.003751,0.035623,0.004037,0.035154
img_01366.jpg,0.158230,0.003401,0.005527,0.041600,0.003343,0.782594,0.000847,0.004459
img_01371.jpg,0.638151,0.008665,0.013560,0.000109,0.036473,0.001654,0.000249,0.301139
img_01373.jpg,0.561751,0.018858,0.045570,0.002906,0.304725,0.031169,0.002156,0.032865
img_01377.jpg,0.402575,0.006640,0.007809,0.002668,0.553258,0.009490,0.001004,0.016556
img_01379.jpg,0.898419,0.005472,0.003425,0.003148,0.010576,0.064308,0.001064,0.013590
img_01384.jpg,0.830158,0.020227,0.065105,0.002168,0.009256,0.053135,0.005350,0.014602
img_01388.jpg,0.401478,0.164440,0.004684,0.002848,0.035143,0.374381,0.002842,0.014183
img_01392.jpg,0.021033,0.172462,0.346640,0.000813,0.013929,0.015381,0.003191,0.426551
img_01399.jpg,0.003761,0.305435,0.031235,0.000301,0.004809,0.016731,0.001447,0.636280
img_01404.jpg,0.726501,0.086048,0.005612,0.050081,0.014952,0.018521,0.001406,0.096879
img_01405.jpg,0.981843,0.001828,0.000074,0.000300,0.000979,0.011425,0.000307,0.003244
img_01413.jpg,0.905925,0.007357,0.001644,0.007262,0.031149,0.033358,0.000651,0.012656
img_01426.jpg,0.041285,0.839772,0.000813,0.000195,0.000550,0.010658,0.004247,0.102481
img_01431.jpg,0.295371,0.028806,0.003694,0.618171,0.015196,0.025015,0.004498,0.009249
img_01441.jpg,0.071234,0.009122,0.017937,0.000595,0.079741,0.043260,0.001902,0.776208
img_01444.jpg,0.454568,0.020525,0.001064,0.000774,0.006314,0.286982,0.050407,0.179367
img_01490.jpg,0.003484,0.035174,0.564689,0.000263,0.001201,0.002071,0.000494,0.392624
img_01495.jpg,0.798552,0.013185,0.006346,0.001527,0.000227,0.031211,0.000310,0.148642
img_01505.jpg,0.011798,0.008065,0.000061,0.000019,0.972271,0.000465,0.000068,0.007253
img_01511.jpg,0.818368,0.027152,0.019162,0.003649,0.027521,0.094450,0.001269,0.008429
img_01519.jpg,0.304650,0.180719,0.003668,0.009007,0.031197,0.293992,0.055702,0.121065
img_01530.jpg,0.612562,0.003924,0.005494,0.001347,0.277286,0.005939,0.001781,0.091667
img_01537.jpg,0.757402,0.010176,0.011402,0.001783,0.065614,0.121345,0.001539,0.030739
img_01538.jpg,0.695542,0.022633,0.001579,0.001422,0.009340,0.164655,0.004855,0.099973
img_01541.jpg,0.000778,0.001903,0.000175,0.000021,0.993453,0.002003,0.000348,0.001319
img_01543.jpg,0.872643,0.003048,0.005736,0.000052,0.092490,0.001791,0.000320,0.023920
img_01548.jpg,0.947369,0.002525,0.000460,0.000039,0.016148,0.000689,0.000184,0.032586
img_01552.jpg,0.996679,0.000432,0.001244,0.000017,0.000400,0.000042,0.000140,0.001048
img_01561.jpg,0.027586,0.002766,0.003611,0.000367,0.958673,0.001550,0.000166,0.005280
img_01562.jpg,0.384082,0.008116,0.006327,0.000776,0.004091,0.014972,0.023419,0.558218
img_01571.jpg,0.746216,0.029140,0.002953,0.000138,0.044646,0.001520,0.001848,0.173539
img_01593.jpg,0.422838,0.058638,0.005251,0.002325,0.008479,0.051439,0.033881,0.417148
img_01595.jpg,0.024533,0.005210,0.000219,0.000062,0.813873,0.000880,0.000461,0.154761
img_01616.jpg,0.804446,0.004964,0.010447,0.000103,0.125763,0.007815,0.013169,0.033292
img_01618.jpg,0.713491,0.179060,0.000336,0.003417,0.034069,0.054899,0.002127,0.012600
img_01627.jpg,0.812322,0.022244,0.001650,0.001264,0.001851,0.148878,0.001295,0.010496
img_01632.jpg,0.961728,0.001655,0.000539,0.000037,0.018738,0.000348,0.000087,0.016869
img_01633.jpg,0.459529,0.055249,0.001424,0.002475,0.015131,0.400256,0.021235,0.044701
