image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.343257,0.008290,0.043552,0.013451,0.395958,0.103247,0.036835,0.055410
img_00007.jpg,0.373101,0.032394,0.022117,0.018252,0.016740,0.078683,0.042707,0.416006
img_00009.jpg,0.300646,0.210191,0.075193,0.027434,0.048499,0.182169,0.047095,0.108773
img_00018.jpg,0.695234,0.067294,0.013574,0.018333,0.047006,0.107879,0.013950,0.036730
img_00027.jpg,0.414951,0.077569,0.024835,0.073363,0.077873,0.030228,0.074159,0.227022
img_00030.jpg,0.156676,0.080479,0.078908,0.101350,0.035297,0.084939,0.211367,0.250983
img_00040.jpg,0.121828,0.079142,0.066828,0.049155,0.065025,0.132941,0.171596,0.313486
img_00046.jpg,0.258455,0.095551,0.031554,0.023543,0.172669,0.064086,0.045446,0.308697
img_00053.jpg,0.612793,0.062832,0.062605,0.075603,0.051182,0.065449,0.037751,0.031785
img_00071.jpg,0.452267,0.036760,0.023451,0.086169,0.042042,0.113372,0.049709,0.196231
img_00075.jpg,0.161916,0.161565,0.041503,0.081251,0.128113,0.306015,0.071184,0.048453
img_00102.jpg,0.017398,0.085070,0.038507,0.285624,0.030685,0.083626,0.070927,0.388164
img_00103.jpg,0.481959,0.049304,0.057554,0.074570,0.090911,0.124503,0.048542,0.072658
img_00109.jpg,0.574289,0.030627,0.029981,0.006831,0.312531,0.007592,0.023843,0.014306
img_00119.jpg,0.026011,0.025505,0.036950,0.030547,0.716336,0.103384,0.044238,0.017029
img_00120.jpg,0.398632,0.025514,0.035983,0.011507,0.024349,0.069305,0.064338,0.370372
img_00125.jpg,0.485928,0.094072,0.090115,0.125567,0.017805,0.024253,0.061788,0.100472
img_00128.jpg,0.031601,0.029561,0.088762,0.029169,0.059131,0.070135,0.023262,0.668379
img_00129.jpg,0.228857,0.052503,0.079343,0.033328,0.054068,0.182580,0.075339,0.293982
img_00133.jpg,0.556085,0.045542,0.010712,0.023208,0.155496,0.114932,0.019069,0.074956
img_00138.jpg,0.461158,0.099392,0.066279,0.072827,0.044270,0.085794,0.024744,0.145538
img_00141.jpg,0.018234,0.043715,0.041781,0.016524,0.019080,0.054170,0.026472,0.780024
img_00152.jpg,0.018412,0.076562,0.115203,0.070217,0.074868,0.163542,0.106204,0.374991
img_00161.jpg,0.006761,0.017591,0.077179,0.044297,0.012499,0.035558,0.066138,0.739977
img_00164.jpg,0.090619,0.027341,0.237777,0.048203,0.208766,0.053395,0.253247,0.080653
img_00170.jpg,0.657354,0.013411,0.027878,0.082430,0.057438,0.103295,0.028384,0.029811
img_00171.jpg,0.045829,0.159226,0.046188,0.322179,0.020116,0.231226,0.069153,0.106083
img_00172.jpg,0.264296,0.012208,0.039696,0.018453,0.269190,0.084949,0.028985,0.282224
img_00175.jpg,0.168090,0.098440,0.041013,0.207831,0.037775,0.163988,0.072067,0.210795
img_00180.jpg,0.075768,0.012427,0.026310,0.024312,0.046666,0.026697,0.395767,0.392052
img_00196.jpg,0.138105,0.017885,0.030485,0.017512,0.673482,0.074925,0.027395,0.020210
img_00212.jpg,0.261113,0.041595,0.061584,0.034231,0.050372,0.049919,0.134568,0.366619
img_00223.jpg,0.419989,0.041376,0.042562,0.064478,0.182027,0.192126,0.021229,0.036214
img_00230.jpg,0.929367,0.013033,0.001647,0.003944,0.003710,0.019986,0.002315,0.025998
img_00232.jpg,0.085474,0.154300,0.058260,0.120956,0.120378,0.038847,0.330047,0.091737
img_00244.jpg,0.656842,0.048032,0.024476,0.027833,0.128491,0.029666,0.025246,0.059414
img_00272.jpg,0.394069,0.118369,0.053316,0.051760,0.114989,0.105969,0.014583,0.146944
img_00280.jpg,0.316446,0.041376,0.052563,0.030113,0.352433,0.121554,0.037924,0.047592
img_00282.jpg,0.106267,0.121758,0.034604,0.287376,0.038812,0.187632,0.118191,0.105360
img_00285.jpg,0.103227,0.037663,0.042116,0.023328,0.057942,0.035800,0.246928,0.452994
img_00289.jpg,0.372394,0.013199,0.103739,0.036720,0.276661,0.161554,0.015388,0.020345
img_00292.jpg,0.150788,0.022359,0.077920,0.123848,0.036719,0.294185,0.066978,0.227201
img_00302.jpg,0.117234,0.163883,0.043497,0.053164,0.105047,0.181556,0.100283,0.235337
img_00311.jpg,0.518352,0.088377,0.039484,0.064807,0.101727,0.032061,0.052780,0.102412
img_00320.jpg,0.617706,0.048052,0.038453,0.016324,0.025620,0.011533,0.108154,0.134158
img_00331.jpg,0.364875,0.018114,0.034530,0.024634,0.024604,0.086985,0.061390,0.384867
img_00358.jpg,0.266527,0.047076,0.043386,0.017894,0.040122,0.080959,0.095335,0.408701
img_00374.jpg,0.313818,0.076507,0.065894,0.046345,0.034906,0.294912,0.042029,0.125589
img_00375.jpg,0.313350,0.110584,0.034699,0.098755,0.174931,0.155190,0.032956,0.079535
img_00376.jpg,0.490751,0.010956,0.031848,0.004423,0.011948,0.055524,0.061757,0.332795
img_00380.jpg,0.580988,0.023993,0.015722,0.032292,0.197207,0.105462,0.007959,0.036378
img_00383.jpg,0.354553,0.136998,0.052239,0.052900,0.153446,0.056640,0.104096,0.089128
img_00398.jpg,0.322764,0.030834,0.029428,0.013014,0.244906,0.077857,0.072934,0.208264
img_00407.jpg,0.339648,0.066759,0.058887,0.114364,0.029367,0.151667,0.041841,0.197467
img_00417.jpg,0.690992,0.009728,0.014089,0.005361,0.098871,0.015572,0.045998,0.119391
img_00432.jpg,0.358834,0.023458,0.086632,0.023007,0.097628,0.169928,0.052078,0.188434
img_00442.jpg,0.032062,0.041600,0.096955,0.050518,0.184972,0.057178,0.018108,0.518607
img_00446.jpg,0.716074,0.027000,0.011366,0.019216,0.041021,0.136521,0.012423,0.036379
img_00469.jpg,0.560348,0.095883,0.018605,0.024991,0.053182,0.138508,0.018716,0.089767
img_00473.jpg,0.681741,0.026530,0.019483,0.004626,0.120494,0.012830,0.022856,0.111439
img_00483.jpg,0.250629,0.095975,0.063474,0.029778,0.231956,0.046374,0.066391,0.215424
img_00484.jpg,0.600710,0.065707,0.034429,0.033619,0.037600,0.053232,0.053906,0.120796
img_00486.jpg,0.612173,0.051791,0.034332,0.052080,0.100694,0.090987,0.021400,0.036543
img_00487.jpg,0.045018,0.048115,0.153562,0.085322,0.325114,0.028583,0.197747,0.116540
img_00493.jpg,0.262399,0.040490,0.051705,0.057332,0.218508,0.101314,0.187342,0.080909
img_00518.jpg,0.391719,0.032669,0.023188,0.011199,0.303846,0.040774,0.056347,0.140258
img_00533.jpg,0.127229,0.100925,0.055338,0.057979,0.058203,0.099517,0.051050,0.449758
img_00538.jpg,0.724638,0.014443,0.012770,0.020691,0.006992,0.113046,0.029953,0.077467
img_00543.jpg,0.411219,0.101708,0.061765,0.076757,0.099262,0.036275,0.074495,0.138519
img_00550.jpg,0.215921,0.038560,0.180064,0.032014,0.089209,0.269950,0.092076,0.082205
img_00551.jpg,0.512989,0.038952,0.046961,0.127130,0.046699,0.145205,0.039226,0.042838
img_00564.jpg,0.330101,0.007680,0.019897,0.012382,0.427305,0.116316,0.010734,0.075583
img_00575.jpg,0.302706,0.019422,0.065629,0.043821,0.019021,0.138926,0.056895,0.353580
img_00582.jpg,0.350757,0.093895,0.032068,0.042657,0.149771,0.221683,0.030271,0.078899
img_00584.jpg,0.265627,0.079147,0.115604,0.028963,0.380142,0.010907,0.029636,0.089974
img_00587.jpg,0.194238,0.065087,0.052889,0.081383,0.068881,0.047598,0.170401,0.319523
img_00590.jpg,0.281368,0.014113,0.022085,0.012842,0.022438,0.034825,0.038348,0.573982
img_00591.jpg,0.213495,0.016364,0.027900,0.016058,0.032584,0.091270,0.057899,0.544430
img_00598.jpg,0.163233,0.060002,0.102348,0.145759,0.066921,0.290484,0.057674,0.113578
img_00599.jpg,0.119718,0.030669,0.122496,0.039055,0.023633,0.160384,0.158235,0.345809
img_00612.jpg,0.492503,0.018838,0.035728,0.028862,0.024420,0.163462,0.069632,0.166555
img_00618.jpg,0.265901,0.030216,0.067997,0.043561,0.309460,0.100755,0.126228,0.055883
img_00620.jpg,0.454646,0.059194,0.049719,0.059723,0.116154,0.198452,0.015428,0.046684
img_00642.jpg,0.463165,0.054628,0.025826,0.067697,0.129613,0.061498,0.019148,0.178424
img_00646.jpg,0.093411,0.065196,0.076692,0.044918,0.229918,0.055082,0.030222,0.404561
