image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.023665,0.000269,0.001255,0.000023,0.972277,0.001854,0.000214,0.000444
img_00007.jpg,0.239284,0.205055,0.001675,0.012873,0.028789,0.086802,0.002480,0.423042
img_00009.jpg,0.565798,0.065223,0.008846,0.001567,0.041646,0.266296,0.002296,0.048327
img_00018.jpg,0.901052,0.007645,0.007727,0.004859,0.001346,0.036884,0.000785,0.039703
img_00027.jpg,0.782006,0.011691,0.000187,0.000260,0.004573,0.061564,0.027993,0.111724
img_00030.jpg,0.114240,0.004848,0.000308,0.000096,0.846945,0.000311,0.004568,0.028683
img_00040.jpg,0.537040,0.047199,0.002322,0.001421,0.006410,0.106916,0.126876,0.171815
img_00046.jpg,0.853168,0.000699,0.000462,0.000029,0.137615,0.001226,0.003906,0.002895
img_00053.jpg,0.964408,0.002061,0.004902,0.001210,0.009062,0.008474,0.000209,0.009673
img_00071.jpg,0.082872,0.005056,0.000559,0.745321,0.017996,0.142342,0.004642,0.001212
img_00075.jpg,0.319660,0.105133,0.001527,0.002580,0.032244,0.516209,0.000757,0.021890
img_00102.jpg,0.180540,0.060533,0.001962,0.001860,0.002515,0.149811,0.027194,0.575585
img_00103.jpg,0.798691,0.004629,0.003647,0.026788,0.008472,0.102573,0.000732,0.054468
img_00109.jpg,0.649001,0.001459,0.000496,0.000014,0.337159,0.000818,0.001520,0.009532
img_00119.jpg,0.030860,0.018273,0.000398,0.000094,0.499992,0.001316,0.000042,0.449025
img_00120.jpg,0.164232,0.013411,0.004141,0.000440,0.008742,0.011869,0.144104,0.653060
img_00125.jpg,0.426812,0.047167,0.004414,0.004428,0.007412,0.069026,0.009482,0.431260
img_00128.jpg,0.010125,0.063739,0.081001,0.000267,0.002946,0.006474,0.000365,0.835082
img_00129.jpg,0.514205,0.082724,0.003483,0.004325,0.006353,0.089702,0.108507,0.190702
img_00133.jpg,0.303160,0.019757,0.000148,0.007736,0.395457,0.229741,0.001114,0.042886
img_00138.jpg,0.824600,0.017391,0.003561,0.002219,0.046829,0.014814,0.001075,0.089511
img_00141.jpg,0.010515,0.019333,0.089768,0.000202,0.001393,0.013403,0.001077,0.864311
img_00152.jpg,0.170595,0.004008,0.000687,0.001295,0.001771,0.022619,0.000215,0.798810
img_00161.jpg,0.004133,0.008107,0.000548,0.000007,0.006018,0.162504,0.000210,0.818473
img_00164.jpg,0.003152,0.002794,0.000700,0.000184,0.761634,0.064697,0.002191,0.164648
img_00170.jpg,0.685266,0.009215,0.003434,0.044642,0.086991,0.148319,0.000921,0.021213
img_00171.jpg,0.362708,0.004413,0.004295,0.039254,0.030477,0.524516,0.000788,0.033548
img_00172.jpg,0.073890,0.000514,0.001618,0.000073,0.917838,0.001653,0.000456,0.003959
img_00175.jpg,0.344337,0.005426,0.000616,0.040381,0.023481,0.576120,0.001181,0.008457
img_00180.jpg,0.322900,0.000915,0.001818,0.000171,0.006504,0.020231,0.008181,0.639280
img_00196.jpg,0.012104,0.022176,0.000204,0.000051,0.893491,0.001386,0.000065,0.070522
img_00212.jpg,0.147448,0.000740,0.000375,0.000112,0.015243,0.003390,0.001972,0.830720
img_00223.jpg,0.723149,0.014493,0.093490,0.001975,0.007505,0.087672,0.000567,0.071149
img_00230.jpg,0.774312,0.052578,0.003997,0.001997,0.000484,0.019241,0.001245,0.146148
img_00232.jpg,0.019268,0.147176,0.000876,0.000614,0.019590,0.001690,0.799329,0.011458
img_00244.jpg,0.641994,0.136927,0.000181,0.002650,0.008007,0.086525,0.006621,0.117096
img_00272.jpg,0.559254,0.237601,0.093433,0.001734,0.010381,0.016658,0.000747,0.080192
img_00280.jpg,0.574529,0.006787,0.005414,0.000581,0.355039,0.018788,0.000095,0.038767
img_00282.jpg,0.240125,0.004382,0.001502,0.019798,0.023167,0.697575,0.000306,0.013145
img_00285.jpg,0.544078,0.047597,0.006227,0.001882,0.044710,0.017678,0.080321,0.257508
img_00289.jpg,0.742585,0.003953,0.000820,0.000050,0.207547,0.009238,0.000034,0.035772
img_00292.jpg,0.517373,0.087141,0.000553,0.002045,0.006034,0.039564,0.008080,0.339210
img_00302.jpg,0.524457,0.064510,0.002082,0.001201,0.007348,0.061439,0.131112,0.207850
img_00311.jpg,0.932539,0.017566,0.000320,0.000009,0.044384,0.000866,0.000071,0.004246
img_00320.jpg,0.954273,0.026809,0.003045,0.000009,0.004785,0.000554,0.000520,0.010005
img_00331.jpg,0.345560,0.029291,0.001149,0.000675,0.012643,0.240440,0.046414,0.323826
img_00358.jpg,0.268564,0.020804,0.000415,0.001411,0.004884,0.398915,0.039013,0.265993
img_00374.jpg,0.822733,0.009227,0.002372,0.001847,0.001140,0.042155,0.000138,0.120389
img_00375.jpg,0.192207,0.047204,0.094231,0.003512,0.424459,0.194243,0.000582,0.043562
img_00376.jpg,0.582051,0.002679,0.001652,0.000174,0.010296,0.027115,0.039420,0.336614
img_00380.jpg,0.850959,0.004776,0.001716,0.000623,0.033797,0.101758,0.000992,0.005379
img_00383.jpg,0.941549,0.020517,0.000267,0.000070,0.009276,0.001031,0.000831,0.026459
img_00398.jpg,0.519947,0.002798,0.000169,0.000015,0.434251,0.007009,0.004196,0.031613
img_00407.jpg,0.890021,0.008565,0.003263,0.017456,0.010351,0.044436,0.000160,0.025748
img_00417.jpg,0.477270,0.000303,0.000541,0.000081,0.026985,0.004562,0.000864,0.489395
img_00432.jpg,0.440994,0.040585,0.085710,0.009246,0.112572,0.288441,0.004270,0.018181
img_00442.jpg,0.009336,0.011315,0.019204,0.000097,0.001931,0.044884,0.001516,0.911716
img_00446.jpg,0.888170,0.008373,0.000106,0.001773,0.058161,0.034061,0.000538,0.008816
img_00469.jpg,0.747400,0.049512,0.001468,0.004249,0.078133,0.064258,0.005206,0.049772
img_00473.jpg,0.948897,0.000282,0.001621,0.000091,0.012949,0.001345,0.003271,0.031545
img_00483.jpg,0.835523,0.003554,0.000152,0.000010,0.040916,0.000205,0.000712,0.118927
img_00484.jpg,0.609447,0.046773,0.000766,0.003933,0.086433,0.074427,0.003810,0.174412
img_00486.jpg,0.838873,0.012390,0.034611,0.006520,0.045506,0.036208,0.000747,0.025144
img_00487.jpg,0.011816,0.001761,0.000252,0.000325,0.971083,0.001019,0.006364,0.007379
img_00493.jpg,0.210592,0.030791,0.002213,0.007077,0.610765,0.076864,0.001690,0.060009
img_00518.jpg,0.873115,0.000153,0.000692,0.000101,0.104091,0.005433,0.011445,0.004971
img_00533.jpg,0.325954,0.049113,0.000608,0.001090,0.011700,0.074889,0.033945,0.502701
img_00538.jpg,0.602453,0.015490,0.005870,0.027645,0.103790,0.063671,0.001329,0.179753
img_00543.jpg,0.962742,0.012883,0.000225,0.000029,0.018214,0.000550,0.000109,0.005248
