image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.026646,0.000092,0.000439,0.000034,0.971469,0.000965,0.000132,0.000224
img_00007.jpg,0.272526,0.214735,0.008916,0.029368,0.045775,0.093984,0.007672,0.327022
img_00009.jpg,0.776182,0.029393,0.002051,0.001371,0.019387,0.154049,0.002231,0.015337
img_00018.jpg,0.798412,0.012881,0.005417,0.007213,0.001177,0.144007,0.004525,0.026366
img_00027.jpg,0.659261,0.074296,0.001206,0.002082,0.017259,0.088273,0.019533,0.138091
img_00030.jpg,0.050397,0.000180,0.000118,0.000051,0.942874,0.000172,0.000585,0.005623
img_00040.jpg,0.266840,0.095865,0.003466,0.003369,0.006522,0.096104,0.371205,0.156628
img_00046.jpg,0.756540,0.000945,0.000305,0.000048,0.237744,0.001218,0.002031,0.001169
img_00053.jpg,0.986016,0.000512,0.006092,0.000733,0.001337,0.002304,0.000126,0.002879
img_00071.jpg,0.180875,0.006135,0.002400,0.602032,0.140505,0.048080,0.012541,0.007431
img_00075.jpg,0.251755,0.073459,0.000995,0.003286,0.024140,0.580227,0.000956,0.065182
img_00102.jpg,0.176173,0.096360,0.003247,0.003725,0.008419,0.124609,0.036019,0.551447
img_00103.jpg,0.499757,0.002302,0.004771,0.039202,0.004220,0.018502,0.001493,0.429752
img_00109.jpg,0.912170,0.000287,0.000680,0.000014,0.077690,0.002639,0.000854,0.005665
img_00119.jpg,0.001126,0.007988,0.000202,0.000164,0.955661,0.001172,0.000119,0.033567
img_00120.jpg,0.224834,0.007570,0.006146,0.001030,0.009773,0.014864,0.035807,0.699977
img_00125.jpg,0.853130,0.018874,0.001805,0.001693,0.003080,0.050835,0.003978,0.066604
img_00128.jpg,0.005391,0.052290,0.231560,0.000202,0.001569,0.002723,0.000402,0.705863
img_00129.jpg,0.342608,0.121102,0.015749,0.005323,0.012799,0.067036,0.141356,0.294027
img_00133.jpg,0.122225,0.014224,0.000281,0.003268,0.729837,0.087777,0.002486,0.039901
img_00138.jpg,0.873967,0.027707,0.010948,0.003792,0.027895,0.020072,0.002427,0.033192
img_00141.jpg,0.001794,0.014666,0.048509,0.000685,0.000625,0.002388,0.001729,0.929603
img_00152.jpg,0.020935,0.001158,0.002542,0.000284,0.000747,0.019153,0.000550,0.954630
img_00161.jpg,0.002534,0.000952,0.000927,0.000040,0.005713,0.021983,0.000140,0.967712
img_00164.jpg,0.006066,0.001621,0.001498,0.000308,0.898795,0.003692,0.001680,0.086340
img_00170.jpg,0.803581,0.004782,0.002550,0.021087,0.045754,0.104549,0.000468,0.017229
img_00171.jpg,0.356191,0.001645,0.001570,0.034638,0.007754,0.595916,0.000923,0.001362
img_00172.jpg,0.069148,0.000243,0.000239,0.000040,0.927344,0.001115,0.000380,0.001493
img_00175.jpg,0.341439,0.004032,0.001506,0.034066,0.006933,0.610465,0.000740,0.000818
img_00180.jpg,0.615812,0.002329,0.000777,0.000249,0.030890,0.007779,0.000731,0.341433
img_00196.jpg,0.003188,0.012438,0.000133,0.000070,0.973839,0.001481,0.000126,0.008724
img_00212.jpg,0.110537,0.001300,0.000210,0.000097,0.009655,0.001553,0.000346,0.876302
img_00223.jpg,0.738643,0.003859,0.112224,0.001104,0.001122,0.103495,0.000505,0.039049
img_00230.jpg,0.866972,0.028809,0.001244,0.000970,0.000082,0.006334,0.001601,0.093989
img_00232.jpg,0.003378,0.028618,0.001698,0.000748,0.007562,0.000393,0.948200,0.009402
img_00244.jpg,0.446450,0.449789,0.000453,0.004803,0.003964,0.018627,0.004493,0.071420
img_00272.jpg,0.561004,0.106828,0.132730,0.002423,0.002001,0.020459,0.000933,0.173621
img_00280.jpg,0.726905,0.002443,0.005611,0.000596,0.187414,0.006152,0.000873,0.070007
img_00282.jpg,0.150970,0.000664,0.001108,0.014656,0.002599,0.825252,0.000395,0.004356
img_00285.jpg,0.818885,0.023964,0.002173,0.002412,0.046996,0.010077,0.020885,0.074608
img_00289.jpg,0.714712,0.001517,0.000526,0.000590,0.261525,0.007835,0.000139,0.013156
img_00292.jpg,0.316556,0.073210,0.000887,0.003002,0.026299,0.057090,0.008423,0.514533
img_00302.jpg,0.363085,0.100354,0.004174,0.003331,0.005865,0.061839,0.223276,0.238076
img_00311.jpg,0.970168,0.009744,0.000130,0.000056,0.015935,0.000867,0.000196,0.002904
img_00320.jpg,0.990428,0.000781,0.002271,0.000023,0.001151,0.000203,0.000235,0.004909
img_00331.jpg,0.325741,0.042746,0.005251,0.004024,0.018348,0.245086,0.050258,0.308545
img_00358.jpg,0.364126,0.024911,0.000614,0.002838,0.012617,0.357354,0.019954,0.217586
img_00374.jpg,0.772956,0.021777,0.007581,0.002311,0.000994,0.035558,0.000692,0.158131
img_00375.jpg,0.273330,0.108797,0.041364,0.013796,0.333081,0.220785,0.001376,0.007472
img_00376.jpg,0.446622,0.010676,0.004845,0.001781,0.021707,0.065759,0.088344,0.360267
img_00380.jpg,0.888362,0.009417,0.006192,0.005600,0.035306,0.053498,0.000689,0.000936
img_00383.jpg,0.981498,0.003809,0.000180,0.000041,0.010033,0.000673,0.000205,0.003560
img_00398.jpg,0.649660,0.003971,0.000772,0.000076,0.302364,0.015669,0.006125,0.021362
img_00407.jpg,0.738617,0.012978,0.014510,0.056338,0.008898,0.137042,0.000822,0.030795
img_00417.jpg,0.166320,0.001023,0.000991,0.000377,0.013792,0.004173,0.000414,0.812911
img_00432.jpg,0.713611,0.047264,0.024422,0.006746,0.017814,0.124729,0.007706,0.057708
img_00442.jpg,0.009704,0.002833,0.023659,0.000049,0.001086,0.010734,0.000970,0.950964
img_00446.jpg,0.867634,0.010997,0.000234,0.001644,0.030796,0.084119,0.000405,0.004170
img_00469.jpg,0.603661,0.060389,0.001850,0.011255,0.085161,0.122844,0.011759,0.103080
img_00473.jpg,0.877784,0.000622,0.001727,0.000278,0.011304,0.002225,0.000610,0.105451
img_00483.jpg,0.833138,0.003210,0.000587,0.000098,0.080254,0.000269,0.000306,0.082138
img_00484.jpg,0.532786,0.103396,0.001849,0.027990,0.086905,0.096677,0.025525,0.124871
img_00486.jpg,0.911817,0.003644,0.057952,0.004507,0.002803,0.016077,0.000297,0.002904
img_00487.jpg,0.007398,0.002185,0.000385,0.000398,0.979464,0.001614,0.007876,0.000679
img_00493.jpg,0.056381,0.003711,0.000641,0.000809,0.916433,0.015539,0.000636,0.005849
img_00518.jpg,0.817347,0.000514,0.000671,0.000121,0.158415,0.009666,0.010371,0.002894
img_00533.jpg,0.194268,0.072450,0.001534,0.003239,0.006219,0.071394,0.080662,0.570234
img_00538.jpg,0.812810,0.004959,0.006233,0.004804,0.012068,0.042854,0.000796,0.115476
img_00543.jpg,0.959197,0.010210,0.000225,0.000027,0.028954,0.000635,0.000039,0.000713
img_00550.jpg,0.769526,0.022906,0.047732,0.001173,0.007258,0.143127,0.003991,0.004286
img_00551.jpg,0.700696,0.004335,0.007557,0.022225,0.086309,0.163941,0.000432,0.014506
img_00564.jpg,0.034291,0.001213,0.000511,0.000379,0.944858,0.016648,0.000316,0.001786
img_00575.jpg,0.362357,0.022405,0.002378,0.001554,0.012754,0.055309,0.025975,0.517268
img_00582.jpg,0.542682,0.014675,0.002383,0.002149,0.138995,0.248587,0.001931,0.048598
img_00584.jpg,0.854728,0.002799,0.000391,0.000111,0.133573,0.000326,0.000321,0.007751
img_00587.jpg,0.643598,0.093859,0.000817,0.001360,0.012141,0.036178,0.006219,0.205828
img_00590.jpg,0.553563,0.017885,0.002861,0.001153,0.009791,0.012198,0.013004,0.389544
img_00591.jpg,0.309509,0.015851,0.004843,0.000767,0.008288,0.005519,0.009111,0.646113
img_00598.jpg,0.955348,0.001768,0.001088,0.002275,0.001267,0.013146,0.000453,0.024655
img_00599.jpg,0.731825,0.003433,0.002093,0.000405,0.003231,0.011437,0.015202,0.232374
img_00612.jpg,0.514770,0.031252,0.000687,0.001977,0.031525,0.321064,0.024906,0.073818
img_00618.jpg,0.581284,0.002521,0.000835,0.000131,0.408413,0.001437,0.000065,0.005314
img_00620.jpg,0.973340,0.003440,0.001926,0.000655,0.004893,0.005307,0.000694,0.009744
img_00642.jpg,0.107214,0.009304,0.009681,0.840428,0.002408,0.018258,0.005675,0.007033
img_00646.jpg,0.090284,0.001773,0.046466,0.000128,0.000426,0.007183,0.001065,0.852675
img_00648.jpg,0.959464,0.025434,0.000149,0.000054,0.010147,0.000997,0.000142,0.003613
img_00650.jpg,0.583641,0.034350,0.004396,0.003048,0.028141,0.142539,0.162788,0.041096
img_00654.jpg,0.525785,0.023788,0.031323,0.004423,0.270630,0.086754,0.006537,0.050759
img_00664.jpg,0.992628,0.000182,0.000594,0.000034,0.005628,0.000011,0.000015,0.000909
