image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.009654,0.000002,0.000083,0.000002,0.990210,0.000037,0.000005,0.000007
img_00007.jpg,0.772004,0.171371,0.008180,0.012720,0.002473,0.010964,0.000104,0.022183
img_00009.jpg,0.999318,0.000569,0.000016,0.000000,0.000000,0.000084,0.000000,0.000012
img_00018.jpg,0.838966,0.000008,0.000035,0.000007,0.000000,0.160945,0.000003,0.000036
img_00027.jpg,0.760560,0.030843,0.000020,0.000171,0.000540,0.040695,0.000129,0.167041
img_00030.jpg,0.004771,0.000005,0.000015,0.000001,0.994997,0.000014,0.000003,0.000193
img_00040.jpg,0.727424,0.009673,0.000684,0.000296,0.000140,0.091999,0.064636,0.105148
img_00046.jpg,0.809177,0.000038,0.000004,0.000001,0.190654,0.000100,0.000017,0.000009
img_00053.jpg,0.999127,0.000004,0.000468,0.000172,0.000001,0.000003,0.000000,0.000225
img_00071.jpg,0.539243,0.000718,0.000515,0.447117,0.010295,0.001788,0.000013,0.000310
img_00075.jpg,0.660144,0.000368,0.000044,0.000003,0.000002,0.327877,0.000002,0.011558
img_00102.jpg,0.055157,0.000648,0.000285,0.000146,0.000075,0.005876,0.002731,0.935082
img_00103.jpg,0.649920,0.000001,0.019304,0.001319,0.000004,0.000040,0.000006,0.329405
img_00109.jpg,0.999690,0.000001,0.000002,0.000000,0.000262,0.000005,0.000004,0.000036
img_00119.jpg,0.000220,0.000031,0.000024,0.000001,0.903836,0.000376,0.000005,0.095507
img_00120.jpg,0.329984,0.000370,0.000447,0.000030,0.000162,0.000266,0.000845,0.667896
img_00125.jpg,0.971831,0.000220,0.000011,0.000001,0.000000,0.000010,0.000003,0.027923
img_00128.jpg,0.000163,0.014802,0.062127,0.000001,0.000031,0.000028,0.000005,0.922843
img_00129.jpg,0.436311,0.002758,0.005399,0.000826,0.000413,0.016697,0.128466,0.409130
img_00133.jpg,0.611390,0.000474,0.000180,0.001987,0.290959,0.003835,0.000008,0.091168
