image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.408112,0.015196,0.046369,0.013683,0.322025,0.096975,0.034202,0.063438
img_00007.jpg,0.307436,0.063771,0.039512,0.036482,0.026633,0.091561,0.096081,0.338524
img_00009.jpg,0.523141,0.179904,0.041705,0.031318,0.026360,0.116559,0.033430,0.047584
img_00018.jpg,0.565474,0.075737,0.039126,0.051694,0.060423,0.120287,0.041413,0.045845
img_00027.jpg,0.262977,0.075128,0.078781,0.041100,0.061477,0.067074,0.173723,0.239740
img_00030.jpg,0.121800,0.107733,0.104202,0.057205,0.190367,0.050042,0.195329,0.173322
img_00040.jpg,0.230680,0.054293,0.069750,0.037636,0.078256,0.114734,0.130133,0.284518
img_00046.jpg,0.327475,0.053438,0.041874,0.026152,0.246107,0.041422,0.036239,0.227293
img_00053.jpg,0.566124,0.051157,0.051437,0.080826,0.039601,0.122283,0.041935,0.046637
img_00071.jpg,0.273300,0.082199,0.037654,0.121733,0.051424,0.128987,0.059722,0.244983
img_00075.jpg,0.161685,0.261621,0.049597,0.084578,0.136854,0.119677,0.129337,0.056651
img_00102.jpg,0.062802,0.070482,0.043710,0.091318,0.031272,0.165059,0.088750,0.446607
img_00103.jpg,0.336564,0.055301,0.066340,0.167453,0.062072,0.144574,0.093574,0.074121
img_00109.jpg,0.501262,0.071284,0.047740,0.017637,0.260809,0.013345,0.062201,0.025722
img_00119.jpg,0.061553,0.030396,0.032108,0.017113,0.734737,0.058422,0.041174,0.024498
img_00120.jpg,0.318815,0.027723,0.050912,0.023606,0.017194,0.100982,0.077437,0.383331
img_00125.jpg,0.258064,0.108546,0.134243,0.088678,0.018155,0.072568,0.103935,0.215811
img_00128.jpg,0.053602,0.056727,0.085551,0.031287,0.071308,0.082091,0.056100,0.563334
img_00129.jpg,0.257393,0.060511,0.094798,0.042084,0.092543,0.097748,0.132013,0.222910
img_00133.jpg,0.455361,0.091137,0.024210,0.035632,0.223400,0.089368,0.025821,0.055073
img_00138.jpg,0.511730,0.071778,0.098610,0.070719,0.066953,0.059521,0.029817,0.090872
img_00141.jpg,0.069801,0.062899,0.073096,0.024730,0.108099,0.054977,0.037325,0.569074
img_00152.jpg,0.153885,0.125716,0.093167,0.074500,0.075923,0.097553,0.069093,0.310163
img_00161.jpg,0.009161,0.076329,0.118675,0.088734,0.027801,0.065919,0.143385,0.469997
img_00164.jpg,0.254193,0.027480,0.096830,0.049531,0.297846,0.069456,0.114277,0.090387
