image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.025783,0.000381,0.000781,0.000028,0.970584,0.001796,0.000380,0.000266
img_00007.jpg,0.274747,0.190875,0.002843,0.009073,0.022605,0.048389,0.002661,0.448807
img_00009.jpg,0.644091,0.041499,0.007712,0.002756,0.018392,0.237679,0.002439,0.045432
img_00018.jpg,0.908563,0.005350,0.006041,0.003705,0.000886,0.019478,0.000658,0.055319
img_00027.jpg,0.740948,0.026757,0.000259,0.000625,0.005261,0.051041,0.030137,0.144972
img_00030.jpg,0.054893,0.005476,0.000173,0.000061,0.918985,0.000351,0.001914,0.018147
img_00040.jpg,0.445911,0.052688,0.001330,0.002383,0.005826,0.123225,0.174969,0.193667
img_00046.jpg,0.848530,0.000998,0.000188,0.000014,0.144157,0.001783,0.001986,0.002345
img_00053.jpg,0.972954,0.001221,0.002202,0.001622,0.007205,0.006811,0.000151,0.007834
img_00071.jpg,0.048429,0.002540,0.000750,0.863238,0.016380,0.063304,0.003870,0.001490
img_00075.jpg,0.237121,0.077498,0.002572,0.001744,0.020394,0.629160,0.000636,0.030875
img_00102.jpg,0.106196,0.043870,0.000994,0.001063,0.001670,0.178153,0.030775,0.637279
img_00103.jpg,0.770125,0.003277,0.005166,0.021215,0.003319,0.139525,0.000576,0.056797
img_00109.jpg,0.611420,0.002905,0.000881,0.000014,0.364744,0.000879,0.003664,0.015493
img_00119.jpg,0.028411,0.017637,0.000303,0.000134,0.574988,0.001346,0.000101,0.377078
img_00120.jpg,0.192171,0.021614,0.003613,0.000571,0.013221,0.018177,0.167176,0.583458
img_00125.jpg,0.498141,0.035265,0.008397,0.004231,0.004522,0.084931,0.012403,0.352110
img_00128.jpg,0.006344,0.054406,0.155745,0.000154,0.002378,0.002469,0.000339,0.778165
img_00129.jpg,0.605104,0.094499,0.005830,0.006556,0.009571,0.100134,0.075223,0.103084
img_00133.jpg,0.297034,0.050073,0.000416,0.006007,0.399313,0.203357,0.002033,0.041767
img_00138.jpg,0.722009,0.020575,0.006602,0.002806,0.090183,0.028054,0.001708,0.128062
img_00141.jpg,0.011248,0.027809,0.158116,0.000524,0.003046,0.019303,0.004576,0.775378
img_00152.jpg,0.102511,0.005162,0.002258,0.001284,0.000352,0.038354,0.001149,0.848929
img_00161.jpg,0.004115,0.005267,0.000558,0.000021,0.010708,0.141394,0.000212,0.837724
img_00164.jpg,0.001312,0.001481,0.002236,0.000080,0.776919,0.072433,0.001197,0.144342
