image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.045447,0.000358,0.001230,0.000056,0.950071,0.001516,0.000516,0.000806
img_00007.jpg,0.282994,0.168024,0.002802,0.015534,0.031398,0.092037,0.003758,0.403454
img_00009.jpg,0.587273,0.048973,0.005713,0.001951,0.026379,0.281448,0.003932,0.044330
img_00018.jpg,0.835581,0.007368,0.011271,0.009008,0.001965,0.062298,0.001292,0.071216
img_00027.jpg,0.704232,0.032359,0.000298,0.000536,0.004751,0.088475,0.042343,0.127005
img_00030.jpg,0.084196,0.006844,0.000381,0.000164,0.878837,0.000410,0.003410,0.025758
img_00040.jpg,0.473872,0.042116,0.002235,0.002146,0.007276,0.102673,0.163771,0.205910
img_00046.jpg,0.844130,0.000949,0.000385,0.000027,0.146531,0.001805,0.002562,0.003612
img_00053.jpg,0.956927,0.002443,0.005359,0.001805,0.008900,0.007900,0.000387,0.016280
img_00071.jpg,0.065291,0.003196,0.000606,0.846118,0.021418,0.056758,0.004836,0.001777
img_00075.jpg,0.275163,0.084114,0.002819,0.002963,0.024564,0.569424,0.000625,0.040327
img_00102.jpg,0.167270,0.057308,0.002162,0.001685,0.003597,0.177715,0.032918,0.557345
img_00103.jpg,0.665783,0.007794,0.009647,0.031509,0.005395,0.177593,0.000608,0.101671
img_00109.jpg,0.703630,0.002029,0.000819,0.000009,0.277739,0.001319,0.003995,0.010460
img_00119.jpg,0.022149,0.018584,0.000402,0.000111,0.672634,0.002550,0.000087,0.283483
img_00120.jpg,0.196499,0.016393,0.002526,0.000449,0.009340,0.021693,0.098931,0.654170
img_00125.jpg,0.424010,0.021765,0.003685,0.003918,0.006867,0.073532,0.008216,0.458007
img_00128.jpg,0.009862,0.063311,0.136216,0.000164,0.002910,0.006865,0.000400,0.780272
img_00129.jpg,0.531302,0.092429,0.006782,0.004308,0.006511,0.087902,0.085746,0.185020
img_00133.jpg,0.264034,0.020228,0.000384,0.015586,0.475466,0.183169,0.001788,0.039346
img_00138.jpg,0.737782,0.026291,0.008577,0.004351,0.075276,0.019687,0.002616,0.125421
img_00141.jpg,0.017057,0.016865,0.128396,0.000368,0.002261,0.010642,0.002270,0.822141
img_00152.jpg,0.099365,0.005376,0.002900,0.002855,0.000610,0.038365,0.001690,0.848840
img_00161.jpg,0.004473,0.003563,0.000621,0.000023,0.007039,0.131689,0.000284,0.852308
img_00164.jpg,0.002158,0.001809,0.001515,0.000091,0.778654,0.052737,0.001744,0.161292
img_00170.jpg,0.687506,0.009165,0.002540,0.038539,0.061300,0.174880,0.000743,0.025326
img_00171.jpg,0.226425,0.004131,0.003507,0.045181,0.027296,0.667191,0.000709,0.025561
img_00172.jpg,0.041653,0.000548,0.001156,0.000091,0.949580,0.002531,0.000402,0.004038
img_00175.jpg,0.268586,0.005215,0.001671,0.057427,0.027024,0.625507,0.001642,0.012928
img_00180.jpg,0.415660,0.001057,0.001968,0.000418,0.014932,0.019627,0.008302,0.538036
img_00196.jpg,0.019632,0.015522,0.000271,0.000091,0.846013,0.003031,0.000116,0.115324
img_00212.jpg,0.255662,0.000650,0.000327,0.000172,0.029348,0.004696,0.003258,0.705887
img_00223.jpg,0.647956,0.012880,0.130506,0.004648,0.008991,0.125162,0.000961,0.068896
img_00230.jpg,0.757318,0.068156,0.006456,0.001390,0.000493,0.019525,0.001630,0.145033
img_00232.jpg,0.028392,0.096767,0.001282,0.000645,0.015685,0.002134,0.843417,0.011678
img_00244.jpg,0.601075,0.151117,0.000394,0.002268,0.006120,0.077486,0.003796,0.157745
img_00272.jpg,0.534456,0.196955,0.136496,0.001329,0.005041,0.032408,0.000788,0.092527
img_00280.jpg,0.577144,0.005338,0.007820,0.000567,0.348704,0.031027,0.000095,0.029303
img_00282.jpg,0.203777,0.004470,0.002488,0.027075,0.028246,0.721627,0.000993,0.011326
img_00285.jpg,0.455364,0.055689,0.004593,0.002498,0.033369,0.018382,0.126309,0.303795
img_00289.jpg,0.651885,0.015227,0.001570,0.000107,0.250623,0.039063,0.000089,0.041436
img_00292.jpg,0.553341,0.077886,0.000692,0.002266,0.008324,0.056724,0.019897,0.280870
img_00302.jpg,0.440364,0.050988,0.001958,0.001733,0.007593,0.065808,0.128148,0.303408
img_00311.jpg,0.940813,0.013669,0.000294,0.000018,0.032155,0.001423,0.000252,0.011377
img_00320.jpg,0.966757,0.007324,0.004658,0.000015,0.009238,0.000412,0.000261,0.011335
img_00331.jpg,0.346063,0.027115,0.001886,0.001187,0.010388,0.231540,0.056742,0.325078
img_00358.jpg,0.319230,0.012187,0.000342,0.001916,0.002830,0.380387,0.045108,0.237999
img_00374.jpg,0.615381,0.010385,0.004006,0.001975,0.000912,0.066492,0.000383,0.300467
img_00375.jpg,0.200382,0.063800,0.046454,0.003861,0.375432,0.257635,0.000620,0.051816
img_00376.jpg,0.593103,0.004511,0.002235,0.000291,0.012562,0.023674,0.064531,0.299093
img_00380.jpg,0.792254,0.008160,0.003441,0.001277,0.065772,0.114958,0.001280,0.012858
img_00383.jpg,0.938892,0.017364,0.000487,0.000095,0.014903,0.001277,0.000959,0.026023
img_00398.jpg,0.516538,0.004656,0.000186,0.000023,0.404333,0.018953,0.009027,0.046284
img_00407.jpg,0.817152,0.009085,0.007159,0.035657,0.013183,0.065900,0.000356,0.051508
img_00417.jpg,0.406023,0.000480,0.000730,0.000147,0.037495,0.005587,0.001913,0.547624
img_00432.jpg,0.284405,0.031072,0.089061,0.013989,0.112966,0.441586,0.002080,0.024841
img_00442.jpg,0.016713,0.014126,0.027498,0.000101,0.001870,0.075078,0.001224,0.863391
img_00446.jpg,0.884812,0.007077,0.000190,0.001426,0.043468,0.055022,0.000567,0.007438
img_00469.jpg,0.762296,0.039670,0.001021,0.004100,0.035171,0.074854,0.003603,0.079286
img_00473.jpg,0.937864,0.000426,0.001661,0.000120,0.014202,0.001328,0.000954,0.043446
img_00483.jpg,0.811652,0.004623,0.000439,0.000023,0.043622,0.000452,0.000999,0.138190
img_00484.jpg,0.549863,0.048204,0.000793,0.002320,0.061687,0.128000,0.007343,0.201789
img_00486.jpg,0.827407,0.024220,0.030420,0.013868,0.039282,0.042413,0.001206,0.021184
img_00487.jpg,0.016738,0.002003,0.000480,0.000529,0.959985,0.001453,0.012555,0.006258
img_00493.jpg,0.252549,0.027076,0.002471,0.005606,0.571515,0.082621,0.005112,0.053049
img_00518.jpg,0.865034,0.000260,0.000794,0.000087,0.105047,0.010205,0.012406,0.006166
img_00533.jpg,0.273679,0.034268,0.000762,0.002179,0.008635,0.071801,0.129768,0.478908
img_00538.jpg,0.666235,0.018977,0.006115,0.019856,0.041674,0.069009,0.000741,0.177393
img_00543.jpg,0.942357,0.017130,0.000481,0.000034,0.027924,0.001457,0.000240,0.010376
img_00550.jpg,0.408187,0.023509,0.180290,0.007991,0.061065,0.288117,0.002089,0.028751
img_00551.jpg,0.661066,0.004630,0.004866,0.032933,0.094841,0.168729,0.000537,0.032398
