image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.008108,0.000010,0.000784,0.000000,0.991046,0.000043,0.000001,0.000006
img_00007.jpg,0.364106,0.281356,0.000171,0.004242,0.017400,0.101052,0.001470,0.230203
img_00009.jpg,0.692520,0.062905,0.000576,0.000169,0.005575,0.191946,0.001066,0.045242
img_00018.jpg,0.935318,0.002374,0.020972,0.002323,0.000062,0.027830,0.000520,0.010601
img_00027.jpg,0.585837,0.038017,0.000006,0.000015,0.002018,0.222458,0.007813,0.143836
img_00030.jpg,0.021130,0.000379,0.000091,0.000006,0.904540,0.000010,0.000618,0.073226
img_00040.jpg,0.402788,0.041574,0.000895,0.000607,0.005793,0.087948,0.282232,0.178162
img_00046.jpg,0.825660,0.000126,0.000164,0.000002,0.171896,0.000925,0.000544,0.000684
img_00053.jpg,0.993427,0.000219,0.000260,0.000193,0.000515,0.000950,0.000134,0.004303
img_00071.jpg,0.025833,0.001495,0.000098,0.873725,0.003838,0.084809,0.010048,0.000154
img_00075.jpg,0.209388,0.180615,0.000033,0.000027,0.000744,0.603472,0.000151,0.005569
img_00102.jpg,0.083926,0.011406,0.000414,0.000231,0.000640,0.223605,0.008491,0.671286
img_00103.jpg,0.805895,0.001982,0.006838,0.008714,0.000840,0.101446,0.000051,0.074234
img_00109.jpg,0.839198,0.000382,0.000147,0.000000,0.150954,0.002770,0.000636,0.005912
img_00119.jpg,0.002323,0.000170,0.000215,0.000002,0.427824,0.000045,0.000000,0.569420
img_00120.jpg,0.098986,0.004638,0.000602,0.000014,0.002110,0.002211,0.054543,0.836897
img_00125.jpg,0.253828,0.044113,0.001821,0.000125,0.001280,0.026490,0.049595,0.622747
img_00128.jpg,0.007934,0.137279,0.086666,0.000004,0.000456,0.000704,0.000072,0.766885
img_00129.jpg,0.528955,0.083967,0.003856,0.000682,0.001504,0.112862,0.100540,0.167635
img_00133.jpg,0.241176,0.003976,0.000001,0.003008,0.510782,0.205558,0.001190,0.034310
img_00138.jpg,0.860281,0.029476,0.001595,0.000141,0.007190,0.033438,0.000631,0.067248
img_00141.jpg,0.002785,0.003765,0.077901,0.000018,0.000226,0.001784,0.003661,0.909860
img_00152.jpg,0.048633,0.000060,0.000017,0.000024,0.000014,0.005757,0.000155,0.945341
