image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.004195,0.000003,0.000093,0.000001,0.995632,0.000074,0.000001,0.000002
img_00007.jpg,0.246937,0.246113,0.000018,0.004003,0.026609,0.298502,0.002128,0.175691
img_00009.jpg,0.675472,0.043664,0.000013,0.000086,0.005767,0.263666,0.000432,0.010900
img_00018.jpg,0.990970,0.000126,0.000128,0.000122,0.000084,0.006314,0.000104,0.002152
img_00027.jpg,0.617757,0.009832,0.000001,0.000007,0.000301,0.349111,0.011525,0.011466
img_00030.jpg,0.044187,0.001723,0.000003,0.000010,0.910960,0.000221,0.000512,0.042384
img_00040.jpg,0.422532,0.041790,0.000020,0.000709,0.002244,0.228801,0.179575,0.124328
img_00046.jpg,0.638558,0.000236,0.000028,0.000000,0.359290,0.000713,0.000912,0.000262
img_00053.jpg,0.979365,0.000074,0.000120,0.000295,0.001383,0.017543,0.000123,0.001096
img_00071.jpg,0.039362,0.000089,0.000001,0.903140,0.053268,0.003225,0.000880,0.000036
img_00075.jpg,0.146181,0.081035,0.000005,0.000008,0.001588,0.769439,0.000318,0.001427
img_00102.jpg,0.029741,0.027924,0.000022,0.000173,0.000333,0.517056,0.006514,0.418237
img_00103.jpg,0.765777,0.000491,0.000133,0.015678,0.000713,0.179773,0.000022,0.037413
img_00109.jpg,0.822624,0.000081,0.000008,0.000000,0.176045,0.000674,0.000099,0.000470
img_00119.jpg,0.000977,0.000293,0.000011,0.000000,0.390159,0.000030,0.000000,0.608530
img_00120.jpg,0.156712,0.004288,0.000161,0.000024,0.000659,0.004210,0.113633,0.720313
img_00125.jpg,0.604927,0.013115,0.000015,0.000149,0.001685,0.142063,0.038070,0.199976
img_00128.jpg,0.005924,0.157008,0.006170,0.000003,0.001159,0.003010,0.000059,0.826668
img_00129.jpg,0.405941,0.055834,0.000066,0.001994,0.001421,0.326090,0.042019,0.166634
img_00133.jpg,0.145521,0.000242,0.000000,0.000336,0.670811,0.181726,0.000403,0.000961
img_00138.jpg,0.803383,0.039004,0.000127,0.000020,0.017734,0.032554,0.000354,0.106824
img_00141.jpg,0.001082,0.006295,0.001902,0.000018,0.000429,0.001322,0.014107,0.974845
img_00152.jpg,0.074583,0.000256,0.000005,0.000142,0.000193,0.043212,0.000059,0.881550
img_00161.jpg,0.000510,0.002292,0.000005,0.000000,0.004946,0.165138,0.000437,0.826673
img_00164.jpg,0.000212,0.000039,0.000010,0.000004,0.675950,0.234102,0.000352,0.089329
img_00170.jpg,0.726306,0.000132,0.000018,0.005737,0.096511,0.167647,0.000012,0.003638
img_00171.jpg,0.141402,0.000160,0.000019,0.021323,0.001437,0.834113,0.000062,0.001485
img_00172.jpg,0.058985,0.000101,0.000221,0.000004,0.937492,0.000709,0.000019,0.002469
img_00175.jpg,0.123361,0.000307,0.000003,0.031915,0.004459,0.839616,0.000187,0.000151
img_00180.jpg,0.433969,0.000048,0.000006,0.000020,0.000250,0.059886,0.006033,0.499786
img_00196.jpg,0.027300,0.000233,0.000052,0.000007,0.832056,0.000860,0.000006,0.139486
img_00212.jpg,0.173368,0.000007,0.000001,0.000010,0.005719,0.000112,0.000041,0.820742
img_00223.jpg,0.646148,0.003117,0.103950,0.000652,0.000638,0.187659,0.000164,0.057672
img_00230.jpg,0.726080,0.157975,0.000630,0.000447,0.000075,0.024403,0.000251,0.090139
img_00232.jpg,0.010319,0.054066,0.000054,0.000070,0.039987,0.000606,0.889291,0.005607
