image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.035070,0.000404,0.001187,0.000083,0.961039,0.001181,0.000297,0.000738
img_00007.jpg,0.262849,0.209373,0.013912,0.029600,0.018710,0.092219,0.007925,0.365412
img_00009.jpg,0.752011,0.048193,0.002049,0.002062,0.018862,0.162170,0.002982,0.011672
img_00018.jpg,0.782145,0.016330,0.004122,0.007512,0.000749,0.132556,0.004750,0.051837
img_00027.jpg,0.589896,0.090216,0.001542,0.002434,0.019008,0.089275,0.025160,0.182469
img_00030.jpg,0.105141,0.001108,0.001456,0.000276,0.867739,0.001386,0.002057,0.020836
img_00040.jpg,0.269019,0.112189,0.007360,0.004873,0.004673,0.066539,0.333878,0.201468
img_00046.jpg,0.738591,0.002574,0.000472,0.000108,0.251242,0.002999,0.002810,0.001204
img_00053.jpg,0.956830,0.002506,0.008977,0.001453,0.010752,0.006049,0.000271,0.013163
img_00071.jpg,0.193482,0.018400,0.005195,0.540664,0.112161,0.101447,0.017136,0.011514
img_00075.jpg,0.468591,0.026076,0.001602,0.002237,0.019802,0.446006,0.000685,0.035001
img_00102.jpg,0.115313,0.107793,0.003905,0.003430,0.005965,0.139026,0.050504,0.574063
img_00103.jpg,0.514200,0.005482,0.009178,0.022313,0.007433,0.044219,0.002826,0.394350
img_00109.jpg,0.910011,0.000855,0.001160,0.000034,0.062707,0.003333,0.000796,0.021104
img_00119.jpg,0.004320,0.006347,0.000342,0.000118,0.907272,0.001548,0.000221,0.079832
img_00120.jpg,0.225549,0.007717,0.005737,0.000797,0.007505,0.010298,0.022149,0.720249
img_00125.jpg,0.816460,0.022803,0.002454,0.002703,0.002954,0.026001,0.004107,0.122519
img_00128.jpg,0.004682,0.097599,0.174184,0.000431,0.001448,0.004210,0.000394,0.717053
img_00129.jpg,0.382170,0.113958,0.019627,0.006650,0.005557,0.042739,0.202093,0.227206
img_00133.jpg,0.096269,0.014600,0.000695,0.003649,0.740842,0.110709,0.002074,0.031162
img_00138.jpg,0.825536,0.049447,0.013351,0.003768,0.036705,0.027233,0.002000,0.041960
img_00141.jpg,0.003050,0.013098,0.079581,0.000410,0.000503,0.003000,0.001121,0.899238
img_00152.jpg,0.031102,0.003734,0.005073,0.000586,0.000997,0.027242,0.000636,0.930630
img_00161.jpg,0.004910,0.001588,0.002167,0.000082,0.012349,0.032801,0.000339,0.945764
img_00164.jpg,0.014277,0.003048,0.005687,0.000558,0.786874,0.016892,0.002762,0.169903
img_00170.jpg,0.820545,0.007423,0.002899,0.025074,0.025766,0.101741,0.000635,0.015915
img_00171.jpg,0.216866,0.002374,0.002497,0.026488,0.003648,0.745619,0.000502,0.002006
img_00172.jpg,0.047807,0.000711,0.000816,0.000078,0.946458,0.002066,0.000382,0.001682
img_00175.jpg,0.292517,0.006540,0.003215,0.066281,0.005895,0.621691,0.000982,0.002879
img_00180.jpg,0.390430,0.004412,0.002878,0.000965,0.023850,0.010623,0.003456,0.563386
img_00196.jpg,0.010526,0.003421,0.000296,0.000123,0.962705,0.003136,0.000216,0.019578
img_00212.jpg,0.165203,0.001126,0.000914,0.000377,0.011421,0.002989,0.000751,0.817219
img_00223.jpg,0.582624,0.015893,0.203476,0.003523,0.003508,0.147058,0.000810,0.043108
img_00230.jpg,0.855276,0.075513,0.002116,0.002346,0.000098,0.007780,0.002152,0.054720
img_00232.jpg,0.007067,0.076957,0.001159,0.000677,0.006517,0.000768,0.890454,0.016402
