filename, version, description, algorithm, param, test_auc_roc, test_accuracy, test_tpr/recall, test_fpr, test_precision, test_f1_score ,submission ,submission_score,CV,train_auc_roc,train_accuracy,train_tpr/recall, train_fpr,train_precision,train_f1_score 
model_1,0,GBC trained only on non-object columns of application data,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7459,0.9195,0.0081,0.0005,0.5936,0.016,submission_1.csv,0.727,10,,,,,,
model_1,1,GBC trained only on all columns of application data,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7515,0.9195,0.0084,0.0005,0.6058,0.0166,Submission_2.csv,0.732,10,0.758985,0.919588,0.009068,0.000452,0.637983,0.017879
model_1,2,GBC trained only on important columns of application data,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=500  random_state=0),0.7592,0.9193,0.0251,0.0022,0.5056,0.0478,NA,NA,4,0.785908,0.920729,0.035932,0.001569,0.667876,0.068188
model_1,3,GBC trained only on important columns of application data,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0 max_features=9),0.7458,0.9193,0.0014,0.0001,0.5598,0.0027,NA,NA,4,0.753462,0.919333,0.001799,0.000091,0.638235,0.003586
model_1,4,GBC trained only on important columns of application data,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0 max_depth=5),0.7554,0.9192,0.0188,0.0017,0.4946,0.0362,NA,NA,4,0.785834,0.920687,0.029298,0.001033,0.713514,0.056282
model_1,5,GBC trained only on important columns of application data,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=500 random_state=0 max_depth=5),0.7567,0.9184,0.0325,0.0038,0.43,0.0604,Submission_3.csv,0.744,4,0.843775,0.92501,0.085129,0.001233,0.858269,0.154887
model_1,6,GBC trained only on important columns of application data,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0 max_depth=10),0.7466,0.9178,0.0329,0.0045,0.3897,0.0606,Submission_4.csv,0.732,4,0.9425,0.9374,0.2284,0.0004,0.9823,0.3706
model_2,0,GBC trained only on important columns of application data,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7512,0.9195,0.0089,0.0006,0.5797,0.0175,NA,NA,4,0.7602,0.9196,0.0097,0.0005,0.6374,0.0191
model_2,1,GBC trained only on important columns of application data and feature loan_income_ratio,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.751,0.9195,0.0089,0.0006,0.5782,0.0175,NA,NA,4,0.7604,0.9196,0.0097,0.0005,0.6363,0.0191
model_2,2,GBC trained only on important columns of application data and feature added loan_annutiy_ratio,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7571,0.9195,0.0091,0.0006,0.5785,0.0179,NA,NA,4,0.7662,0.9196,0.0102,0.0005,0.6353,0.0201
