,reordered_pred,reordered,reordered_prob
4046,1,1.0,0.5630925297737122
10877,1,0.0,0.5830284357070923
15072,1,1.0,0.5415831804275513
24524,1,1.0,0.810615599155426
26744,1,1.0,0.8170297741889954
27412,0,0.0,0.10597711056470871
28251,0,0.0,0.07788924872875214
29390,1,1.0,0.8455109000205994
40983,0,0.0,0.036209337413311005
44428,0,0.0,0.07288994640111923
57596,1,0.0,0.2620513439178467
57752,1,0.0,0.6034934520721436
63042,0,1.0,0.11118936538696289
67780,0,0.0,0.049248840659856796
74611,1,0.0,0.771538496017456
79306,0,1.0,0.04952724650502205
89660,1,0.0,0.5857076644897461
105125,1,1.0,0.3966085910797119
105776,1,0.0,0.6776489019393921
107974,1,0.0,0.2651277184486389
110904,1,0.0,0.47199931740760803
111871,1,1.0,0.7342942953109741
130865,0,0.0,0.027462545782327652
133547,0,0.0,0.04268527776002884
139802,1,0.0,0.4847416877746582
148213,0,1.0,0.20685778558254242
156168,1,0.0,0.4239060878753662
158120,0,0.0,0.08546232432126999
158824,1,1.0,0.745896577835083
167122,0,0.0,0.052668727934360504
172312,1,0.0,0.25403541326522827
173228,0,1.0,0.1860305517911911
180334,1,1.0,0.721831738948822
185136,1,0.0,0.24538157880306244
189439,0,0.0,0.10987525433301926
191806,1,1.0,0.855961799621582
194940,1,0.0,0.2867945730686188
198248,1,0.0,0.2612251341342926
201397,1,1.0,0.7770640254020691
205251,1,0.0,0.5619502663612366
212242,0,0.0,0.20786301791667938
223104,0,0.0,0.09756726026535034
223582,0,0.0,0.20085513591766357
224631,1,0.0,0.7156697511672974
225707,0,0.0,0.15039752423763275
229684,0,0.0,0.06927948445081711
231235,1,0.0,0.21777980029582977
238209,1,1.0,0.5527751445770264
240601,1,0.0,0.38985660672187805
247682,0,0.0,0.03719959035515785
247826,1,0.0,0.24827370047569275
251181,1,1.0,0.4510606825351715
254773,1,0.0,0.222521111369133
259129,1,0.0,0.8217455744743347
260547,1,1.0,0.21512416005134583
265811,0,0.0,0.11054164916276932
266491,0,0.0,0.1266707479953766
275579,1,0.0,0.2427443265914917
283530,1,1.0,0.6587827205657959
284191,1,1.0,0.40038764476776123
284575,1,1.0,0.2404060661792755
285408,1,1.0,0.2154468595981598
298018,0,0.0,0.1841612011194229
303056,1,1.0,0.6118292212486267
308327,0,0.0,0.11223217099905014
314981,1,1.0,0.3258737027645111
318454,1,1.0,0.7619872689247131
321357,1,1.0,0.36275652050971985
337181,0,0.0,0.06863193213939667
348794,0,0.0,0.17654849588871002
351207,0,1.0,0.10545170307159424
356874,0,0.0,0.057322196662425995
358317,0,0.0,0.1970817595720291
364875,1,1.0,0.5643999576568604
373135,0,0.0,0.0769069567322731
373278,0,0.0,0.05221249535679817
379480,1,1.0,0.34663650393486023
385813,1,1.0,0.5567574501037598
402467,1,0.0,0.28189319372177124
403031,1,1.0,0.2349574863910675
404215,1,0.0,0.2110736221075058
413914,1,1.0,0.6708168387413025
417125,0,0.0,0.1495555192232132
418640,0,1.0,0.14525263011455536
432516,1,0.0,0.5097236633300781
447350,1,1.0,0.4807782769203186
471083,1,1.0,0.7898257374763489
477774,1,1.0,0.552677571773529
480185,1,1.0,0.3163541257381439
493389,1,1.0,0.49609610438346863
503439,1,0.0,0.43107378482818604
511490,0,0.0,0.04753720760345459
513099,1,0.0,0.3266538381576538
519577,0,0.0,0.03900068998336792
520062,0,0.0,0.10062802582979202
525248,1,1.0,0.8569167256355286
526232,1,1.0,0.7880387902259827
535414,0,0.0,0.05068899318575859
538028,0,0.0,0.081889808177948
538346,0,0.0,0.05868537724018097
550951,1,0.0,0.23413141071796417
556628,1,0.0,0.2734249532222748
556776,0,0.0,0.07703781127929688
557270,1,0.0,0.39339348673820496
563582,1,0.0,0.585199773311615
567259,0,0.0,0.014731181785464287
572239,1,0.0,0.29903265833854675
581130,1,1.0,0.3940024673938751
581837,0,0.0,0.017837222665548325
589000,1,0.0,0.27635666728019714
597865,1,0.0,0.5346297025680542
598088,1,1.0,0.29150691628456116
606958,0,0.0,0.0664689764380455
610168,0,0.0,0.09303957223892212
612494,0,0.0,0.04452526196837425
619550,1,0.0,0.3001638948917389
621428,1,0.0,0.7392041087150574
637364,0,0.0,0.10941805690526962
638305,1,0.0,0.22567391395568848
639305,1,1.0,0.43636393547058105
653173,1,1.0,0.3117106854915619
656816,0,1.0,0.09604709595441818
657190,1,1.0,0.43890640139579773
659747,1,0.0,0.2409670352935791
660393,1,0.0,0.3589629530906677
666673,1,0.0,0.48504242300987244
672065,0,0.0,0.12757043540477753
673404,0,0.0,0.14793643355369568
674594,0,0.0,0.0842721238732338
682112,1,1.0,0.27751341462135315
683173,1,0.0,0.5312521457672119
683578,0,0.0,0.09533870965242386
685865,0,1.0,0.09868991374969482
685893,1,1.0,0.7195987105369568
686707,1,0.0,0.5261309742927551
687129,1,0.0,0.3014104664325714
687425,1,0.0,0.3286668658256531
690535,0,0.0,0.14264149963855743
697493,0,0.0,0.08009090274572372
701831,1,1.0,0.46814584732055664
706956,1,0.0,0.5537246465682983
718951,1,0.0,0.4545508027076721
720923,1,0.0,0.3707367181777954
721690,1,0.0,0.5094748139381409
728497,0,0.0,0.02981036715209484
730149,1,1.0,0.2754167914390564
736731,0,0.0,0.13309641182422638
739279,0,0.0,0.0965900793671608
743240,1,1.0,0.845119833946228
750859,1,0.0,0.7036014199256897
753112,0,1.0,0.1798856258392334
765349,0,0.0,0.06953511387109756
768877,0,0.0,0.03177674114704132
769473,1,0.0,0.434418261051178
769699,1,1.0,0.6215780973434448
771203,1,1.0,0.6492223143577576
773087,0,0.0,0.09824477136135101
777017,0,0.0,0.10384965687990189
777304,0,0.0,0.027280211448669434
793993,0,0.0,0.012682987377047539
798041,1,0.0,0.3706808388233185
798665,0,0.0,0.1891312152147293
802144,0,0.0,0.1143953874707222
817018,0,0.0,0.05828070640563965
819101,0,0.0,0.10921210795640945
820785,0,0.0,0.13697542250156403
821048,0,0.0,0.12202412635087967
825046,0,0.0,0.19057253003120422
833062,0,0.0,0.19999420642852783
835000,1,0.0,0.24610312283039093
835242,0,0.0,0.06427229940891266
842632,0,0.0,0.03394585847854614
854974,1,0.0,0.34085914492607117
